,Job Title,Company,Company Rating,Job Description,Salary,Location,Career Opportunities,Company Benefits,Culture & Values,Upper Management,Work Life Balance,Company Pros Reviews,Company Cons Reviews,Company Size,Company Founded,Company Type,Company Industry,Company Sector,Company Revenue
147,Manager (Data Analyst),"Military Security Department
4.1",4.1,"What the role is
You will support organisational decisions through data cleaning and analysis of historical data from various available sources, identify gaps and propose solutions to enhance governance and stabilise operations.
What you will be working on
You will use development tools to generate reports, dashboards, clean and prepare the data and analytical solutions according to organisational rules and specifications. You will co-ordinate with internal teams to develop projections on outcomes of implementing organisation strategies that result in actionable insights.

You will assist in the data collection, processing and warehousing tasks, which may also include collection, parsing, analysing and visualising sets of data. You will also be required to review, propose and conduct basic analytical courses as part of the digital transformation effort.
Show More
Report",$48K - $60K (Glassdoor Est.),Singapore,3.7,4.1,4.2,3.7,3.7,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",Unknown,Government,Healthcare Services & Hospitals,Healthcare,Unknown / Non-Applicable,-1
148,Vice President - Credit Analyst - Corporates - Risk Management,"NOMURA SINGAPORE LIMITED
3.9",3.9,"Nomura Overview
Nomura is a global financial services group with an integrated network spanning over 30 countries. By connecting markets East & West, Nomura services the needs of individuals, institutions, corporates and governments through its three business divisions: Retail, Wholesale (Global Markets and Investment Banking), and Investment Management. Founded in 1925, the firm is built on a tradition of disciplined entrepreneurship, serving clients with creative solutions and considered thought leadership. For further information about Nomura, visit www.nomura.com
Function Overview
This is a role in Credit Risk Management (CRM) Department based in Singapore and will cover counterparty credit exposure from loan and derivative transactions in Asia-ex Japan with a focus on South-East Asia, Australia and New Zealand.


Show More
Report",Employer Provided Salary:$11K - $22K,Singapore,3.5,3.6,3.8,3.3,3.8,"['""Good comp and culture."" (in 38 reviews)', '""Friendly people"" (in 42 reviews)', '""work life balance is good"" (in 41 reviews)', '""Good pay vs average pay in Europe"" (in 34 reviews)', '""good work environment overall in general"" (in 32 reviews)']","['""Bad culture, outdated infrastructure, office politics."" (in 38 reviews)', '""Some great people but a lot of stupid people who think themselves as super"" (in 42 reviews)', '""Work Life Balance is disrupred"" (in 41 reviews)', '""Below the average pay new to raise the salaries"" (in 34 reviews)', '""Good work environment and strong culture"" (in 32 reviews)']",10000+ Employees,1925,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD)
149,Senior Country Risk Analyst,BUSINESS MONITOR INTERNATIONAL (ASIA) PTE. LTD.,-1,"At Fitch, we have an open culture where employees are able to exchange ideas and perspectives, throughout the organization, irrespective of their seniority. Your voice will be heard allowing you to have a real impact. We embrace diversity and appreciate authenticity encouraging an environment where employees can be their true selves. Our inclusive and progressive approach helps us to keep a balanced perspective. Fitch is also committed to supporting its employees by advancing conversations around diversity, equity and inclusion. Fitch’s Employee Resource Groups (ERGs) have been established by employees who have joined together as a workplace community based on similar backgrounds or life experiences. Fitch’s ERGs are available to connect employees with others within the organization to offer professional and personal support.
With our expertise, we are not only creating data and information, but also producing timely insights from every angle to influence decision making in this ever changing and highly competitive market. We have a relentless hunger to innovate and unlock the power of human insights and to drive value for our customers. There has never been a better time to make an impact and we invite you to join us on this journey.
Show More
Report",Employer Provided Salary:$5K - $7K,Singapore,4.9,4.8,4.8,4.9,4.7,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",201 to 500 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
150,Data Analyst Intern,"ADDX
3.7",3.7,"Who are we?
We are ADDX, the entry point into private markets, and we aim to democratize private market investments. As a team, we strive to build a future where everybody can access financial ecosystems easily, fairly, and safely. Our team’s belief is real economies benefit when capital flows freely and efficiently, especially in the private market space.
Why join us?
We have built the world’s first fully regulated platform for digital securities, licensed by the Monetary Authority of Singapore (MAS).
ADDX is a global private market exchange headquartered in Singapore. To date, ADDX has listed more than 60 deals on its platform and worked with blue-chip names such as Hamilton Lane, Partners Group, Investcorp, Singtel, UOB, CGS-CIMB, as well as Temasek-owned entities Mapletree, Azalea, SeaTown and Fullerton Fund Management.
. The full-service capital market platform has raised a total of US$140 million in funding since its inception in 2017.
Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",51 to 200 Employees,2002,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
151,Data Analyst,"JLL
3.9",3.9,"JLL supports the Whole You, personally and professionally.

Our people at JLL are shaping the future of real estate for a better world by combining world class services, advisory and technology to our clients. We are committed to hiring the best, most talented people in our industry; and we support them through professional growth, flexibility, and personalized benefits to manage life in and outside of work. Whether you’ve got deep experience in commercial real estate, skilled trades, and technology, or you’re looking to apply your relevant experience to a new industry, we empower you to shape a brighter way forward so you can thrive professionally and personally.

Description
About JLL –
We’re JLL—a leading professional services and investment management firm specializing in real estate. We have operations in over 80 countries and a workforce of over 98,000 individuals around the world who help real estate owners, occupiers and investors achieve their business ambitions. As a global Fortune 500 company, we also have an inherent responsibility to drive sustainability and corporate social responsibility. That’s why we’re committed to our purpose to shape the future of real estate for a better world. We’re using the most advanced technology to create rewarding opportunities, amazing spaces and sustainable real estate solutions for our clients, our people and our communities.
Our core values of teamwork, ethics and excellence are also fundamental to everything we do and we’re honored to be recognized with awards for our success by organizations both globally and locally.
Creating a diverse and inclusive culture where we all feel welcomed, valued and empowered to achieve our full potential is important to who we are today and where we’re headed in the future. And we know that unique backgrounds, experiences and perspectives help us think bigger, spark innovation and succeed together.
If this job description resonates with you, we encourage you to apply even if you don’t meet all of the requirements below. We’re interested in getting to know you and what you bring to the table!
Junior Data Analyst – Strategic Portfolio Planning
Singapore)


JLL Technologies is a tech-focused division of Jones Lang LaSalle, a world leader in real estate services and a Fortune 500 company.
This role will be part of an embedded team with strategic clients. A primary focus will be one of the largest Software Companies headquartered in Silicon Valley. The role has a lot of opportunities for advancement and is suitable for someone motivated to have direct client interaction and be able to partner with JLL leadership to set the long-term role direction for maximum benefit to the candidate, the client and JLL.
The Strategic Portfolio Planning Analyst position is a role within the JLL Technologies delivery team, responsible for managing and optimising JLL client portfolios through data analysis and integrity. This position requires interaction with account leadership teams, clients, vendors, operations, and support staff in a dynamic environment consistent with handling multiple project demands.
If this describes you, do not hesitate to apply. In this role, you will be focusing on designing and delivering complex solutions through your technical and business expertise.


Optimising the supply and demand forecast of the real estate client’s portfolio

Collaborating with the real estate and transaction teams to ensure that site demand needs are addressed by supply options in a timely manner

Modelling different demand scenarios and determining best real estate plan to address alternative forecasts

Maintaining data integrity of tools used

Translating business intelligence into real estate insights

Data communications and reporting on overall portfolio, regional and site health to provide stakeholders with metrics needed to make informed decisions


you will be working closely with stakeholders from different backgrounds and with different roles and levels of seniority

1+ year experience with data analysis and visualisation

spreadsheet modelling experience (Excel/Google Sheets)

SQL knowledge in any dialect (MySQL, PostGreSQL, etc.)

Corporate real estate experience highly desired

Experience with Google Cloud Platform desired

Prior consulting experience is a plus

Exceptional customer service skills focus and commitment

Excellent time management skills with ability to prioritise and spread workload as needed

JLL Privacy Notice
Jones Lang LaSalle (JLL), together with its subsidiaries and affiliates, is a leading global provider of real estate and investment management services. We take our responsibility to protect the personal information provided to us seriously. Generally the personal information we collect from you are for the purposes of processing in connection with JLL’s recruitment process. We endeavour to keep your personal information secure with appropriate level of security and keep for as long as we need it for legitimate business or legal reasons. We will then delete it safely and securely.
For more information about how JLL processes your personal data, please view our Candidate Privacy Statement.
For additional details please see our career site pages for each country.
For employees in the United States, please see a fully copy of our Equal Employment Opportunity and Affirmative Action policy here.
Jones Lang LaSalle (“JLL”) is an Equal Opportunity Employer and is committed to working with and providing reasonable accommodations to individuals with disabilities. If you need a reasonable accommodation because of a disability for any part of the employment process – including the online application and/or overall selection process – you may contact us at Accommodation Requests. This email is only to request an accommodation. Please direct any other general recruiting inquiries to our Contact Us page > I want to work for JLL.

If this job description resonates with you, we encourage you to apply even if you don’t meet all of the requirements below. We’re interested in getting to know you and what you bring to the table!

Personalized benefits that support personal well-being and growth:

JLL recognizes the impact that the workplace can have on your wellness, so we offer a supportive culture and comprehensive benefits package that prioritizes mental, physical and emotional health.

About JLL –

We’re JLL—a leading professional services and investment management firm specializing in real estate. We have operations in over 80 countries and a workforce of over 102,000 individuals around the world who help real estate owners, occupiers and investors achieve their business ambitions. As a global Fortune 500 company, we also have an inherent responsibility to drive sustainability and corporate social responsibility. That’s why we’re committed to our purpose to shape the future of real estate for a better world. We’re using the most advanced technology to create rewarding opportunities, amazing spaces and sustainable real estate solutions for our clients, our people, and our communities.

Our core values of teamwork, ethics and excellence are also fundamental to everything we do and we’re honored to be recognized with awards for our success by organizations both globally and locally.

Creating a diverse and inclusive culture where we all feel welcomed, valued and empowered to achieve our full potential is important to who we are today and where we’re headed in the future. And we know that unique backgrounds, experiences and perspectives help us think bigger, spark innovation and succeed together.
Show More
Report",$60K - $66K (Glassdoor Est.),Singapore,3.7,3.5,3.8,3.5,3.7,"['""Great work life balance."" (in 71 reviews)', '""good salary and overall package.. Everyone has a high title"" (in 78 reviews)', '""Great people and atmoshphere in the company"" (in 67 reviews)', '""3. Good culture"" (in 68 reviews)', '""good management"" (in 34 reviews)']","['""No work life balance and lack of management leadership in Data team"" (in 71 reviews)', '""Low Salary and lot of hours"" (in 78 reviews)', '""People there are just numbers."" (in 67 reviews)', '""It was a competitive culture, but that is not necessarily a bad thing."" (in 68 reviews)', '""Financial management teams are understaffed and often overloaded, while other departments have no work and people spend all day chatting in the office."" (in 34 reviews)']",10000+ Employees,Company - Public,Real Estate,Real Estate,$5 to $10 billion (USD),-1
152,Senior Application Support Engineer (Finacle),"CAPGEMINI SINGAPORE PTE. LTD.
4.0",4.0,"Job Description:

We are seeking a highly skilled and motivated Finacle Financial Module Applications Support Engineer to join our dynamic team. As a Finacle Financial Module Applications Support Engineer, you will play a critical role in ensuring the smooth operation and support of our Finacle banking software suite, particularly focusing on the financial modules.

Key Responsibilities:
Application Support: Provide comprehensive support for the Finacle Financial Module, including troubleshooting and resolving application issues to ensure minimal downtime and maximum efficiency.
Show More
Report",Employer Provided Salary:$8K - $12K,Singapore,3.9,3.4,4.0,3.7,3.9,"['""If someone want a company with good infrastructure and company with full enjoyment than Capgemini which provide good work life balance"" (in 1536 reviews)', '""MNC and good salary and i like to work in MNC"" (in 1837 reviews)', '""Good work culture and good to have a settled life"" (in 1165 reviews)', '""Good Management: listen to your query and will solve if possible"" (in 871 reviews)', '""Good work environment and supportive"" (in 1806 reviews)']","['""Working in silos and no work life balance in few projects"" (in 1536 reviews)', '""for existing employees salary is less when compared to lateral hires and difference is too high."" (in 1837 reviews)', '""Poor work culture is what I felt"" (in 1165 reviews)', '""Bad management and not ready to listen employee concerns"" (in 871 reviews)', '""Good work environment, and best life check and balance."" (in 1806 reviews)']",10000+ Employees,1967,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
153,KYC Analyst (12 months contract),"Robert Walters
4.0",4.0,"An exciting KYC Analyst (12 months contract) job has just become available at one of the most respected global banking institutions based in Singapore. This role sits in the KYC Middle Office team, in coordination with the Front Office, the KYC controllers and Financial Security.
About the KYC Analyst (12 months contract) Role:
In this business-critical role, you will be responsible for analyzing and updating KYC files.
Key Responsibilities:
Analyze client profile to determine the required KYC information as per procedure.
Analysis of existing documents, obtain the new documents if any changes are observed.
Collect or source the client information from the public sources.
Analysis of collected data, perform sanity check, liaise with relationship manager for further documents, information and confirmation.




An exciting KYC Analyst (12 months contract) job has just become available at one of the most respected global banking institutions based in Singapore. This role sits in the KYC Middle Office team, in coordination with the Front Office, the KYC controllers and Financial Security.
Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"['""Competitive Benefits and Salary"" (in 1 reviews)', '""Great team members"" (in 1 reviews)', -1, -1, -1]","['No Cons have been reported by the Glassdoor community.', -1, -1, -1, -1]",1001 to 5000 Employees,1985,Company - Public,HR Consulting,Human Resources & Staffing,$2 to $5 billion (USD)
154,Head of IT Security - Leading Investment Bank,"Pinpoint Asia
4.6",4.6,"Pinpoint Asia Singapore
Posted 2 days ago Permanent S$10k - S$20k
Our client, a leading Investment Bank, is currently looking for a Head of IT Security where the successful candidate will develop IT Security Risk Assessments and Frameworks for the region. The role will involve developing and implementing comprehensive security strategies, policies, and procedures to safeguard our sensitive data, systems, and networks. You will lead a team of talented security professionals, collaborating with various stakeholders to proactively address cyber threats and mitigate potential risks.

Responsibilities:
Develop and execute an enterprise-wide IT security strategy that aligns with business goals and regulatory requirements.




Show More
Report",Employer Provided Salary:$10K - $20K,Singapore,4.2,4.5,4.7,4.7,4.8,"['""building events and social activities that help to build relationships and create a positive work environment."" (in 9 reviews)', '""As a technology company with around 100 employees, eFinancialCareers stands out for its commitment to supporting working parents and caring for its employees in general."" (in 6 reviews)', '""If you expect a clear defined career path, it may not suit you."" (in 6 reviews)', '""Great culture and team dynamics"" (in 7 reviews)', '""Good leadership and help from seniors"" (in 3 reviews)']","['""Unclear career paths and progression."" (in 6 reviews)', '""Some years of stagnation with the product and performance under previous leadership have meant that some relationships with customers are a bit fractured and less likely to engage."" (in 3 reviews)', -1, -1, -1]",51 to 200 Employees,2000,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
155,"Analyst, IT Risk (7 Months Contract)","MUFG
4.6",4.6,"MUFG Singapore
Posted 5 days ago Hybrid Permanent Negotiable
Job Description:

We are looking for a candidate for a regional role in Operational Risk Management Team - IT Risk who will mainly act as a coordinator and to handle queries from Business Units and Support Functions relating to an Information Security System to be newly implemented across APAC region.
This is a 7 months contract role to support both pre-implementation and post-implementation of the system, working alongside the ORM IT Risk team, under the guidance of the Direct Manager. During pre-implementation, the candidate will support the IT Risk team on coordination with various stakeholders on planning and logistic matters such as meeting arrangements, distribution and collation of survey documents, responding to queries from stakeholders. Post implementation, the candidate is expected to enhance knowledge of the new system, including the fundamental operations and workflows of system to support queries from business users in a timely manner.
Show More
Report",$42K - $60K (Glassdoor Est.),Singapore,4.2,4.5,4.7,4.7,4.8,"['""Very friendly work environment and culture."" (in 2 reviews)', '""generous benefits package"" (in 1 reviews)', '""excellent team culture"" (in 1 reviews)', -1, -1]","['No Cons have been reported by the Glassdoor community.', -1, -1, -1, -1]",51 to 200 Employees,2000,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
156,Digital Forensics Analyst,"TikTok
3.5",3.5,"Responsibilities
TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo.

At TikTok, our people are humble, intelligent, compassionate and creative. We create to inspire - for you, for us, and for more than 1 billion users on our platform. We lead with curiosity and aim for the highest, never shying away from taking calculated risks and embracing ambiguity as it comes. Here, the opportunities are limitless for those who dare to pursue bold ideas that exist just beyond the boundary of possibility. Join us and make impact happen with a career at TikTok.

The Global Security Organization provides industry-leading cyber-security and business protection services to TikTok globally. Our organization employs four principles that guide our strategic and tactical operations. Firstly, we Champion Transparency & Trust by leading the charge in organizational transparency, prioritizing customer trust, and placing user needs first. Secondly, we aim to maintain Best in Class Global Security by proactively identifying and reducing risks while enabling innovative product development. We constantly work towards a sustainable world-class security capability. Thirdly, we strive to be a Business Catalyst & Enabler by embodying the DNA of technical innovation and ensuring our Global Security operations are fast and agile. Finally, we Drive Empowered & Risk-Informed Decision Making by providing our leaders with the necessary information to make agile decisions based on risk. In order to enhance collaboration and cross-functional partnerships, our organization follows a hybrid work schedule that requires employees to work in the office for 3 days a week, as directed by their manager. We regularly review our hybrid work model, and the specific requirements may change at any time.

We are seeking a Digital Forensics Analyst to join our Forensics & Litigation Support team. The analyst will partner with internal stakeholders, such as Legal, HR, Ethics, Investigations, and Insider Threat, to support investigations and provide technical expertise. The role will perform forensic preservation of relevant devices and data, respond to incidents, and perform detailed analysis of systems and data. The role will require an individual able to apply forensics concepts and industry best-practice in the preservation and analysis of newly developed technologies engineered internally at the company.

Responsibilities
Qualifications
A bachelor’s degree in a computing field.

TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.
Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",1001 to 5000 Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
157,Senior Cyber Incident Response Analyst - GSO (Singapore),"TikTok
3.5",3.5,"Responsibilities
TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo.

Why Join Us
Creation is the core of TikTok's purpose. Our platform is built to help imaginations thrive. This is doubly true of the teams that make TikTok possible.
Together, we inspire creativity and bring joy - a mission we all believe in and aim towards achieving every day.
To us, every challenge, no matter how difficult, is an opportunity; to learn, to innovate, and to grow as one team. Status quo? Never. Courage? Always.
At TikTok, we create together and grow together. That's how we drive impact - for ourselves, our company, and the communities we serve.
Join us.

The Global Security Organization provides industry-leading cyber-security and business protection services to TikTok globally. Our organization employs four principles that guide our strategic and tactical operations. Firstly, we Champion Transparency & Trust by leading the charge in organizational transparency, prioritizing customer trust, and placing user needs first. Secondly, we aim to maintain Best in Class Global Security by proactively identifying and reducing risks while enabling innovative product development. We constantly work towards a sustainable world-class security capability. Thirdly, we strive to be a Business Catalyst & Enabler by embodying the DNA of technical innovation and ensuring our Global Security operations are fast and agile. Finally, we Drive Empowered & Risk-Informed Decision Making by providing our leaders with the necessary information to make agile decisions based on risk.

As a Senior Cyber Incident Response Analyst, you will be a technical escalation point of TikTok’s enterprise Threat Detection and Response team. The Threat Detection and Response team is responsible for 24x7 monitoring of multiple security-related information sources to manage incidents related to cyber, privacy, and data protection for TikTok data, infrastructure, and products. The Threat Detection and Response team operates under a follow-the-sun model, with hubs located in Singapore, Dublin and US. The Threat Detection and Response team will regularly survey the TikTok networks for signs of a breach, malware, or unauthorized access. Additionally, the Threat Detection and Response team is responsible for developing and maintaining incident response plans, playbooks and procedures. Finally, the Threat Detection and Response team will be responsible for data collection and analysis of Incident Response data.

Responsibilities
Qualifications
Preferred Qualifications
TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.
Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",1001 to 5000 Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
158,Senior Tech Risk & Control Analyst (1 year contract),"RHB Singapore
3.7",3.7,"Company Description

RHB Singapore is a progressive and growing financial organization. We are committed to creating a fulfilling, dynamic and engaging work environment for our team of more than 15,000 employees across nine locations in ASEAN, China and Hong Kong.

Job Description

Primary Objective
Ensure compliance with the Group’s and regulators’ Technology outsourcing guidelines and regulations by





Show More
Report",$50K - $57K (Glassdoor Est.),Singapore,3.5,3.4,3.6,3.3,3.5,"['""Colleagues were friendly and approachable."" (in 31 reviews)', '""High salary and nice working environment."" (in 30 reviews)', '""Good work life balance and I enjoyed it"" (in 26 reviews)', '""Good working environment"" (in 32 reviews)', '""Good exposure, experience, salary and benefits"" (in 13 reviews)']","['""at times get hurled at with vulgarities in front of all your colleagues."" (in 31 reviews)', '""low salary compared to same industry in other bank"" (in 30 reviews)', '""No work life balance"" (in 26 reviews)', '""Low salary yet compensated by other benefits"" (in 13 reviews)', -1]",10000+ Employees,Company - Private,Banking & Lending,Finance,Unknown / Non-Applicable,-1
159,REGULATORY COMPLIANCE ANALYST,"MetaVerse Green Exchange
4.0",4.0,"Our ideal candidate will play a pivotal role in ensuring our company’s operations align with relevant laws, regulations, and industry best practices.
Location: Singapore
Roles and Responsibilities:
Provide compliance advisory on the regulatory requirements in SFA and SFR to business units and participate in new initiatives/projects to understand business units’ concerns/needs,
Provide accurate and practical guidance to address regulatory and industry requirements from a regulatory Compliance perspective;
Provide oversight and support to the stakeholders on general compliance matters, including drafting of company’s policies and procedures in accordance with MAS regulations in the Capital Markets Products arena when required.
Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",Unknown,Company - Public,Unknown / Non-Applicable,-1,-1,-1
160,Analyst Programmer / Systems Analyst (Digital Solutions Department) [NIE],"Nanyang Technological University
3.9",3.9,"ABOUT THE NATIONAL INSTITUTE OF EDUCATION (NIE)
The National Institute of Education (NIE), Singapore, is Singapore’s national teacher education institute and we are proud to be an integral part of the nation’s education service. We play a key role in the preparation of teachers and in the provision of teacher professional and school leadership development programmes. We are committed to our vision of being An Institute of Distinction: Leading the Future of Education and our mission to Inspire Learning, Transform Teaching and Advance Research. Read more about NIE
here
.
NIE invites suitable candidates to join the Division of Academic Computing & Information Services (ACIS) as an Analyst Programmer/Systems Analyst. This is a 2-year contract post.
The candidate should be a dynamic IT professional who is a good team player and a strong software developer.
Job Description


Hiring Institution: NIE
Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"['""Work life balance is definitely there."" (in 6 reviews)', '""Good and friendly colleagues who will help."" (in 5 reviews)', '""Good benefit and good colleagues."" (in 2 reviews)', -1, -1]","['""Toxic colleagues and environment"" (in 5 reviews)', '""No communication with management"" (in 4 reviews)', '""Poor Management"" (in 2 reviews)', -1, -1]",5001 to 10000 Employees,1991,College / University,Colleges & Universities,Education,$100 to $500 million (USD)
161,Reporting Analyst,"TDCX (SG) PTE. LTD.
3.0",3.0,"#BeMore
Do you aspire for a rewarding career that lets you do more and achieve more? Unleash your full potential at work with TDCX, an award-winning and fast-growing BPO company.
Work with the world’s most loved brands and be with awesome, diverse people. Be home, belong, and start your journey to #BeMore!
Top reasons to work with TDCX.
Attractive remuneration, great perks, and performance incentives
Comprehensive medical, insurance, or social security coverage
World-class workspaces
Show More
Report",Employer Provided Salary:$3K - $5K,Singapore,2.7,2.9,3.0,2.5,3.2,"['""Good salary and work environment"" (in 22 reviews)', '""Great culture"" (in 17 reviews)', '""Flexing working hours, friendly colleagues and good management"" (in 17 reviews)', '""Nice colleagues"" (in 18 reviews)', '""Decent benefits"" (in 13 reviews)']","['""Salary is not the best on the market."" (in 22 reviews)', '""Bad Management, also for Internal system"" (in 17 reviews)', '""Hardly any or NO benefits at all, no claims, no dental, nothing."" (in 13 reviews)', -1, -1]",10000+ Employees,1995,Company - Public,HR Consulting,Human Resources & Staffing,$100 to $500 million (USD)
162,IT Sec - Risk Technology Analyst_Advanced,"Rapsys Technologies
4.7",4.7,"1) Monitor and track software risk.
2) Monitor and track performance of IT applications
3) Collaborate with various application teams to investigate on risk events and issues
4) Identify application impacted and ensure the necessary application can support the new product
•Monitor and track software risk and information security risk (i.e. APAR upgrades, privileged ID reviews)
•Perform risk assessments on IT process and areas to identify control gaps. Ensure controls and processes meet the core requirements of the Bank. Work with other lines of business for consistency.
Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",Unknown,Company - Private,Unknown / Non-Applicable,-1,-1,-1
163,"Data Analyst, EduTech, School of Medicine (2-year contract)","National University of Singapore
4.1",4.1,"Date: 28 Aug 2023
Location: YONG LOO LIN SCH OF MEDICINE, Kent Ridge Campus, SG
Company: National University of Singapore
Job Description
Established in 1905 to educate and train medical professionals for Singapore, the NUS Yong Loo Lin School of Medicine is a leading medical educational and research institution in Asia. We educate the next generation of doctors and nurses to the highest clinical standards and prepare them to meet tomorrow’s medical challenges competently, compassionately and creatively.



Show More
Report",$60K - $66K (Glassdoor Est.),Singapore,3.6,3.5,3.8,3.6,3.9,"['""You will get a high salary"" (in 364 reviews)', '""Good work life balance and you get to manage your own progression"" (in 320 reviews)', '""Colleague are friendly and helpful."" (in 113 reviews)', '""Good benefits and welfare perks"" (in 150 reviews)', -1]","['""Low salary and hard to be promoted"" (in 364 reviews)', '""No work life balance."" (in 320 reviews)', '""Always have lazy colleagues."" (in 113 reviews)', '""No career progression for engineering and management track."" (in 225 reviews)', '""Can be low pay and benefits are mot really there"" (in 150 reviews)']",10000+ Employees,1905,College / University,Colleges & Universities,Education,Unknown / Non-Applicable
164,Assistant Senior Manager / Manager (Business Analyst),"National University of Singapore
4.1",4.1,"Date: 12 Sep 2023
Location: UNIV ADMIN, Kent Ridge Campus, SG
Company: National University of Singapore
Short Description
The Central Procurement Office is seeking a dynamic and highly motivated Procurement Business Analyst to join our team. As a Procurement Business Analyst, you will be responsible for deploying, supporting, maintaining and enhancing the Procurement business systems, including providing system support and trainings to end users.
If you thrive on challenges and want to make a significant impact in a dynamic organization, we invite you to apply for this position at NUS. Be part of our team and contribute to NUS's mission for Excellence.

Show More
Report",$48K (Glassdoor Est.),Singapore,3.6,3.5,3.8,3.6,3.9,"['""I heard decent things for some units (good work life balance) and empathic colleagues"" (in 79 reviews)', '""A very big organisation and I\'m glad to meet some really nice colleagues in my office."" (in 46 reviews)', '""Salary is great and reasonable."" (in 73 reviews)', '""Benefits are good with 21 days leave."" (in 49 reviews)', -1]","['""Work life balance is quite bad."" (in 79 reviews)', '""Slow career progression"" (in 61 reviews)', '""Low salary compared to competitors, no progression"" (in 73 reviews)', '""Slow pay increment and not much benefits"" (in 49 reviews)', -1]",10000+ Employees,1905,College / University,Colleges & Universities,Education,Unknown / Non-Applicable
