,Job Title,Company,Company Rating,Job Description,Salary,Location,Career Opportunities,Company Benefits,Culture & Values,Upper Management,Work Life Balance,Company Pros Reviews,Company Cons Reviews,Company Size,Company Founded,Company Type,Company Industry,Company Sector,Company Revenue
70,Software Engineering Internship,"NCS
3.6",3.6,"Software Engineering Internship

Date: 1 Sep 2023
Location: Singapore, Singapore
Company: Singtel Group
NCS is the leading technology services firm that operates across the Asia Pacific region in over 20 countries, providing consulting, digital services, technology solutions, and more.











Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"['""Good work life balance in ncs"" (in 129 reviews)', '""Competitive salary and benefits."" (in 140 reviews)', '""good benefits for Perm employees"" (in 53 reviews)', '""Management Good to the staffs"" (in 77 reviews)', '""Very helpful and friendly colleagues"" (in 94 reviews)']","['""No work life balance in the projects"" (in 129 reviews)', '""Low salary and bonus Have to OT some days 3 days WIO"" (in 140 reviews)', '""No benefit or welfare."" (in 53 reviews)', '""Bad management and no hike"" (in 77 reviews)', '""colleague are all very friendly"" (in 94 reviews)']",10000+ Employees,1981,Company - Private,Information Technology Support Services,Information Technology,$2 to $5 billion (USD)
71,Software Engineering Internship,"NCS
3.6",3.6,"Software Engineering Internship

Date: 1 Sep 2023
Location: Singapore, Singapore
Company: Singtel Group
NCS is the leading technology services firm that operates across the Asia Pacific region in over 20 countries, providing consulting, digital services, technology solutions, and more.











Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"['""Good work life balance in ncs"" (in 129 reviews)', '""Competitive salary and benefits."" (in 140 reviews)', '""good benefits for Perm employees"" (in 53 reviews)', '""Management Good to the staffs"" (in 77 reviews)', '""Very helpful and friendly colleagues"" (in 94 reviews)']","['""No work life balance in the projects"" (in 129 reviews)', '""Low salary and bonus Have to OT some days 3 days WIO"" (in 140 reviews)', '""No benefit or welfare."" (in 53 reviews)', '""Bad management and no hike"" (in 77 reviews)', '""colleague are all very friendly"" (in 94 reviews)']",10000+ Employees,1981,Company - Private,Information Technology Support Services,Information Technology,$2 to $5 billion (USD)
72,Software Engineering Internship,"NCS
3.6",3.6,"Software Engineering Internship

Date: 1 Sep 2023
Location: Singapore, Singapore
Company: Singtel Group
NCS is the leading technology services firm that operates across the Asia Pacific region in over 20 countries, providing consulting, digital services, technology solutions, and more.











Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"['""Good work life balance in ncs"" (in 129 reviews)', '""Competitive salary and benefits."" (in 140 reviews)', '""good benefits for Perm employees"" (in 53 reviews)', '""Management Good to the staffs"" (in 77 reviews)', '""Very helpful and friendly colleagues"" (in 94 reviews)']","['""No work life balance in the projects"" (in 129 reviews)', '""Low salary and bonus Have to OT some days 3 days WIO"" (in 140 reviews)', '""No benefit or welfare."" (in 53 reviews)', '""Bad management and no hike"" (in 77 reviews)', '""colleague are all very friendly"" (in 94 reviews)']",10000+ Employees,1981,Company - Private,Information Technology Support Services,Information Technology,$2 to $5 billion (USD)
73,Software Engineering Internship,"NCS
3.6",3.6,"Software Engineering Internship

Date: 1 Sep 2023
Location: Singapore, Singapore
Company: Singtel Group
NCS is the leading technology services firm that operates across the Asia Pacific region in over 20 countries, providing consulting, digital services, technology solutions, and more.











Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"['""Good work life balance in ncs"" (in 129 reviews)', '""Competitive salary and benefits."" (in 140 reviews)', '""good benefits for Perm employees"" (in 53 reviews)', '""Management Good to the staffs"" (in 77 reviews)', '""Very helpful and friendly colleagues"" (in 94 reviews)']","['""No work life balance in the projects"" (in 129 reviews)', '""Low salary and bonus Have to OT some days 3 days WIO"" (in 140 reviews)', '""No benefit or welfare."" (in 53 reviews)', '""Bad management and no hike"" (in 77 reviews)', '""colleague are all very friendly"" (in 94 reviews)']",10000+ Employees,1981,Company - Private,Information Technology Support Services,Information Technology,$2 to $5 billion (USD)
74,Software Engineering Internship,"NCS
3.6",3.6,"Software Engineering Internship

Date: 1 Sep 2023
Location: Singapore, Singapore
Company: Singtel Group
NCS is the leading technology services firm that operates across the Asia Pacific region in over 20 countries, providing consulting, digital services, technology solutions, and more.











Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"['""Good work life balance in ncs"" (in 129 reviews)', '""Competitive salary and benefits."" (in 140 reviews)', '""good benefits for Perm employees"" (in 53 reviews)', '""Management Good to the staffs"" (in 77 reviews)', '""Very helpful and friendly colleagues"" (in 94 reviews)']","['""No work life balance in the projects"" (in 129 reviews)', '""Low salary and bonus Have to OT some days 3 days WIO"" (in 140 reviews)', '""No benefit or welfare."" (in 53 reviews)', '""Bad management and no hike"" (in 77 reviews)', '""colleague are all very friendly"" (in 94 reviews)']",10000+ Employees,1981,Company - Private,Information Technology Support Services,Information Technology,$2 to $5 billion (USD)
75,Software Engineering Internship,"NCS
3.6",3.6,"Software Engineering Internship

Date: 1 Sep 2023
Location: Singapore, Singapore
Company: Singtel Group
NCS is the leading technology services firm that operates across the Asia Pacific region in over 20 countries, providing consulting, digital services, technology solutions, and more.











Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"['""Good work life balance in ncs"" (in 129 reviews)', '""Competitive salary and benefits."" (in 140 reviews)', '""good benefits for Perm employees"" (in 53 reviews)', '""Management Good to the staffs"" (in 77 reviews)', '""Very helpful and friendly colleagues"" (in 94 reviews)']","['""No work life balance in the projects"" (in 129 reviews)', '""Low salary and bonus Have to OT some days 3 days WIO"" (in 140 reviews)', '""No benefit or welfare."" (in 53 reviews)', '""Bad management and no hike"" (in 77 reviews)', '""colleague are all very friendly"" (in 94 reviews)']",10000+ Employees,1981,Company - Private,Information Technology Support Services,Information Technology,$2 to $5 billion (USD)
76,Web Application Developer,"Weekend Gowhere
3.5",3.5,"HOW TO APPLY:
Send your resume to our HR, email address: hr@gowhere.asia
The shortlisted candidates will be invited to our office for an interview with HR and your future leader.
Be welcomed on board and start your new career with us!

If you have any inquiries, please do not hesitate to send an email to hr@gowhere.asia.

WE WELCOME YOU TO JOIN US!

Show More
Report",$47K - $96K (Glassdoor Est.),Geylang Serai,2.7,3.0,3.2,3.1,3.4,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",1 to 50 Employees,Company - Public,Unknown / Non-Applicable,-1,-1,-1
77,Software Engineer Intern,"Thales
3.9",3.9,"Location: Singapore, Singapore
Thales people architect identity management and data protection solutions at the heart of digital security. Business and governments rely on us to bring trust to the billons of digital interactions they have with people. Our technologies and services help banks exchange funds, people cross borders, energy become smarter and much more. More than 30,000 organizations already rely on us to verify the identities of people and things, grant access to digital services, analyze vast quantities of information and encrypt data to make the connected world more secure.
Thales established its presence in Singapore in 1973 to support the expansion of aerospace-related activities in the Asia-Pacific region. Throughout the last four decades, the company grew from strength to strength and is today involved in the primary businesses of Aerospace (including Air Traffic Management), Defence & Security, Ground Transportation and Digital Identity & Security. Thales today employs over 2,100 people in Singapore across all its business areas.




At Thales we provide CAREERS and not only jobs. With Thales employing 80,000 employees in 68 countries our mobility policy enables thousands of employees each year to develop their careers at home and abroad, in their existing areas of expertise or by branching out into new fields. Together we believe that embracing flexibility is a smarter way of working. Great journeys start here, apply now!
Show More
Report",-1,Changi Village,-1,-1,-1,-1,-1,"['""The work life balance is good and they use the latest tech set in the market ."" (in 182 reviews)', '""Good salary and packages"" (in 218 reviews)', '""1. Management is good"" (in 122 reviews)', '""Great people to work with."" (in 146 reviews)', '""401k benefits are good"" (in 102 reviews)']","['""And no work life balance"" (in 182 reviews)', '""Low salary compared to other opportunties"" (in 218 reviews)', '""poor management"" (in 122 reviews)', '""Not many brilliant people to work with and the experts\' expertise are questionable."" (in 146 reviews)', '""Pay is slightly less than average due to the great supporting benefits"" (in 102 reviews)']",10000+ Employees,2000,Company - Public,Aerospace & Defence,Aerospace & Defence,$10+ billion (USD)
78,Software Engineer (Frontend),"SALTMINE PTE. LTD.
4.9",4.9,"Who are we?

Saltmine is a rapidly growing tech firm in the Commercial Real Estate space, disrupting the $300B workspace design-build market. We are applying modern technology to transform the process by which office design is done from workplace strategy to programming to design and procurement. With deep roots in technology and architecture design, we've built a first of its kind SaaS platform that empowers occupiers and their business partners to design inspiring and efficient spaces.
The company is headquartered in downtown San Francisco with offices in NYC, Boston, Washington D.C., Budapest, Vietnam, and Singapore. We have closed our Series A funding round (one of the biggest in South-east Asia) from marquee VC firms from Singapore & US.

Show More
Report",Employer Provided Salary:$6K - $8K,Singapore,4.8,4.6,4.9,4.6,4.4,"['""Nice colleague and management, good learning place"" (in 1 reviews)', -1, -1, -1, -1]","['No Cons have been reported by the Glassdoor community.', -1, -1, -1, -1]",51 to 200 Employees,2017,Company - Private,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",$1 to $5 million (USD)
79,Software Engineer,"Apple
4.2",4.2,"Summary
Posted: Jul 25, 2023
Role Number:200492674
Apple is a place where extraordinary people gather to do their best work. Together we create products and experiences people once couldn’t have envisioned — and now can’t imagine living without. If you’re excited by the idea of making an impact, joining a team where we pride ourselves in being one of the most diverse and expansive companies in the world, a career with Apple might be your dream job! We are looking for a Software engineer, with an appropriate balance of experience and interest in software development to join our Global Network Services (GNS) team supporting our infrastructure around the globe.
Key Qualifications
Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"['""Good Work Life Balance !"" (in 517 reviews)', '""Good benefits and TC as APPL is increasing and lots of new interesting projects"" (in 399 reviews)', '""it was manageable and the pay was good"" (in 623 reviews)', '""They are good people and they are beautiful"" (in 538 reviews)', '""good culture and work ethics"" (in 453 reviews)']","['""no work life balance is maintaned"" (in 517 reviews)', '""The benefits aren’t bad."" (in 399 reviews)', '""The pay is low especially when living in San Diego where rent and housing cost is super inflated."" (in 623 reviews)', '""People are always trying to find ways to cheat the system after they realize they can\'t learn it."" (in 538 reviews)', '""bad atmosphere and culture of toxicity"" (in 453 reviews)']",10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
80,"Software Engineering Internship, Apple Services Engineering","Apple
4.2",4.2,"Summary
Posted: Aug 17, 2023
Weekly Hours: 40
Role Number:200497249
Imagine what you could do here. At Apple, new ideas have a way of becoming extraordinary products, services, and customer experiences very quickly. Bring passion and dedication to your job and there's no telling what you could accomplish. Would you like the stimulation and challenges of building a world-class, extraordinary scalable system? Then this is the opportunity for you at Apple! We strive to provide a flawless experience for our for millions of customers and developers. The Apple Services Engineering team is one of the most exciting examples of Apple’s long-held passion for combining art and technology. These are the people who power Apple TV, Apple Music, the App Store, Apple Podcasts, Fitness and Apple Books. And they do it on a huge scale, meeting Apple’s high expectations with high performance to deliver rich content in over 40 languages to more than 150 countries. These engineers build from scratch. They develop the custom software used to process all the creative content, the tools that providers use to deliver content, all the server-side systems, and the APIs for many Apple services. Thanks to Apple’s unique integration of hardware, software, and services, engineers here partner to get behind a single unified vision. That vision always includes a profound respect for privacy, one of our core values. Although services are a bigger part of our business than ever before, these teams remain small, nimble, and cross-functional, offering greater exposure to the array of opportunities here.
Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"['""Good Work Life Balance !"" (in 517 reviews)', '""Good benefits and TC as APPL is increasing and lots of new interesting projects"" (in 399 reviews)', '""it was manageable and the pay was good"" (in 623 reviews)', '""They are good people and they are beautiful"" (in 538 reviews)', '""good culture and work ethics"" (in 453 reviews)']","['""no work life balance is maintaned"" (in 517 reviews)', '""The benefits aren’t bad."" (in 399 reviews)', '""The pay is low especially when living in San Diego where rent and housing cost is super inflated."" (in 623 reviews)', '""People are always trying to find ways to cheat the system after they realize they can\'t learn it."" (in 538 reviews)', '""bad atmosphere and culture of toxicity"" (in 453 reviews)']",10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
81,SOFTWARE ENGINEER,Secure Metric Berhad,-1,"Responsibilities and Duties

Development on application and/or module.
Perform functional analysis, application design and documentation.
Perform unit test, deployment and maintenance on the product.
Ensure effective documentation.
Research, develop and adopt software engineering best practices including Test Driven Development, Source and Version Control, automated built and test.
Provide Product Presentation, Demo and Training when required.






Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",-1,-1,-1,-1,-1,-1
82,Web Application Developer,"Singapore Land Authority
3.0",3.0,"What the role is

Singapore Land Authority is the geospatial agency in Singapore, managing and operating a web-based public map platform to provide localised and accurate map data and location-based services (LBS) to serve many government agencies, private sectors and general public. We are looking for a talented web application developer to join our diverse and multi-disciplined engineering team to create feature-rich and high performance front-end for the next generation of map and LBS. This is an excellent opportunity to expose and apply cutting edge web technologies for public goods and make a real-life impact.
What you will be working on
Work closely with product managers, UX designers and backend engineers to define and develop web applications in an agile manner.
Show More
Report",$36K (Glassdoor Est.),Singapore,2.6,3.2,2.8,2.6,3.3,"['""Most colleagues are friendly"" (in 21 reviews)', '""Good work life balance"" (in 12 reviews)', '""Bonuses consistent with gov job or market performance"" (in 10 reviews)', -1, -1]","['""no work life balance,no transparancy, place where managers takes all the credit of employee\'s work, no growth for individual ,managers always ready to blame juniors"" (in 12 reviews)', '""Incompetent middle management and staff on the ground are expected to front the management."" (in 14 reviews)', '""Malaysian work culture because of the heavy Malaysian presence there, therefore if you don\'t know how to wayang, better don\'t join."" (in 11 reviews)', -1, -1]",201 to 500 Employees,2001,Government,National Services & Agencies,Government & Public Administration,Unknown / Non-Applicable
83,Software Developers,"Craft Digital Pte Ltd
4.3",4.3,"Software Developers

Software developers design apps and programs. Microsoft Word? Software devs were behind it.
Tasks: Are you ready to write code; design, prototype, and analyze software; and work with designers, product managers, and programmers? Then there’s probably a future software developer in you waiting to get out!
Skills: Git + GitHub, Front-end web technologies (HTML, CSS, JS), Backend web technologies (PHP, Node.js, SQL, Apache, Nginx), etc.

Drop us a line at recruitment@craftdigitalsg.com with your resume to discuss how we can craft your career together.
Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",Unknown,Company - Public,Unknown / Non-Applicable,-1,-1,-1
84,Software Engineer [Digital Academy],"ST Engineering Group
3.1",3.1,"Software Engineer [Digital Academy]

Date: 26 Aug 2023
Location: Singapore, SG
Company: ST Engineering Group
Job Req ID: 6613
Responsibilities:


Show More
Report",$49K - $60K (Glassdoor Est.),Singapore,2.9,2.7,2.8,2.6,3.4,"['""Good work life balance and well being"" (in 169 reviews)', '""retired from previous job so good place to learn from past experiences of others or find good colleagues"" (in 142 reviews)', '""That is a decent salary for a fresh grad start so not bad"" (in 204 reviews)', '""life balance (depends on the project and department), sometimes management allows you to try new things."" (in 118 reviews)', '""Slow paced, stable job with minimal career progression"" (in 171 reviews)']","['""No work life balance in recent years"" (in 169 reviews)', '""Your colleagues are probably here because they lack experience, got retrenched or are some contracted"" (in 142 reviews)', '""Low salary and shift job"" (in 204 reviews)', '""poor management and no direction of what to do for the workload that you have"" (in 118 reviews)', '""Slow career progression which I think is solely and mainly based on time spent in the company"" (in 171 reviews)']",10000+ Employees,1997,Company - Public,Commercial Equipment Services,"Construction, Repair & Maintenance Services",$5 to $10 billion (USD)
85,"Software Engineer, Software Engineering","NCS
3.6",3.6,"Software Engineer, Software Engineering

Date: 20 Sep 2023
Location: Singapore, Singapore
Company: Singtel Group
NCS is a leading technology services firm, operating across Asia Pacific in over 20 countries, providing services and solutions in consulting, digital services, technology, and more.























Show More
Report",$58K - $68K (Glassdoor Est.),Singapore,3.5,3.3,3.4,3.3,3.2,"['""Good work life balance in ncs"" (in 129 reviews)', '""Competitive salary and benefits."" (in 140 reviews)', '""good benefits for Perm employees"" (in 53 reviews)', '""Management Good to the staffs"" (in 77 reviews)', '""Very helpful and friendly colleagues"" (in 94 reviews)']","['""No work life balance in the projects"" (in 129 reviews)', '""Low salary and bonus Have to OT some days 3 days WIO"" (in 140 reviews)', '""No benefit or welfare."" (in 53 reviews)', '""Bad management and no hike"" (in 77 reviews)', '""colleague are all very friendly"" (in 94 reviews)']",10000+ Employees,1981,Company - Private,Information Technology Support Services,Information Technology,$2 to $5 billion (USD)
86,"Intern, Software Engineer [PSET - Strategic Technologies]","Autodesk
4.3",4.3,"Position Overview
As a software development engineering intern, you will join Autodesk Localization team responsible for empowering global customers by delivering quality localized solutions. You will work on migration of Continuous Localization (CL) project from Jenkins pipeline to software application, where you will contribute to designing and developing APIs for CL. You will also be responsible for deploying the application to AWS infrastructure using different services.
Responsibilities
Use agile methodologies to develop REST APIs for Continuous Localization application
Participate in the complete software development life cycle, from design to testing and deployment
Design and implement efficient database models, queries, and integration using SQL or ORM frameworks
Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",10000+ Employees,1982,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion (USD)
87,Software Engineering Internship,"YouTrip Singapore
3.4",3.4,"YouTrip (www.you.co) is a Southeast Asian-focused fintech dedicated to creating the next generation of digital financial services for the region. With its consumer and corporate products, YouTrip and YouBiz, the company empowers users with the most affordable and convenient financial innovations. The company is a Major Payment Institution licensed by the Monetary Authority of Singapore (MAS), and owns principal memberships and issuing licenses with two of the largest card schemes, MasterCard and Visa. It was recognised as a Top FinTech Leader at the SFF Global FinTech Awards 2021 and awarded Best Multi-Currency Mobile Wallet Provider at the APAC Insider’s 2022 Singapore.
Our culture is entrepreneurial, open & inclusive, and teamwork-oriented. We are looking for talents with the aspiration to thrive in a rapidly growing business in the exciting FinTech space.

Job Description: Software Engineering Internship




Flutter, GoLang, Python, Microservice Architecture, AWS, Kubernetes, Kafka, Elasticsearch, Redux, ReactJs, NodeJS, TypeScript, Flutter, Dart



Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"['""can work like a machine cuz the management just want people to follow their commands"" (in 12 reviews)', '""All colleagues are friendly and passionate about what they are doing."" (in 10 reviews)', '""work life balance and flexible hours"" (in 8 reviews)', '""good career path, you can be the most senior engineer as all the good engineers are leaving/ fired for the poor management"" (in 3 reviews)', -1]","['""What they mentioned about valuing people, winning as one team is crap, they are not respecting anyone from their heart, such an awful and disgusting management."" (in 12 reviews)', '""Fair compensation, just be caution to your employment contract terms and labour laws."" (in 4 reviews)', -1, -1, -1]",51 to 200 Employees,2016,Company - Private,Financial Transaction Processing,Finance,Unknown / Non-Applicable
88,Software Engineering Internship,"YouTrip Singapore
3.4",3.4,"YouTrip (www.you.co) is a Southeast Asian-focused fintech dedicated to creating the next generation of digital financial services for the region. With its consumer and corporate products, YouTrip and YouBiz, the company empowers users with the most affordable and convenient financial innovations. The company is a Major Payment Institution licensed by the Monetary Authority of Singapore (MAS), and owns principal memberships and issuing licenses with two of the largest card schemes, MasterCard and Visa. It was recognised as a Top FinTech Leader at the SFF Global FinTech Awards 2021 and awarded Best Multi-Currency Mobile Wallet Provider at the APAC Insider’s 2022 Singapore.
Our culture is entrepreneurial, open & inclusive, and teamwork-oriented. We are looking for talents with the aspiration to thrive in a rapidly growing business in the exciting FinTech space.

Job Description: Software Engineering Internship




Flutter, GoLang, Python, Microservice Architecture, AWS, Kubernetes, Kafka, Elasticsearch, Redux, ReactJs, NodeJS, TypeScript, Flutter, Dart



Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"['""can work like a machine cuz the management just want people to follow their commands"" (in 12 reviews)', '""All colleagues are friendly and passionate about what they are doing."" (in 10 reviews)', '""work life balance and flexible hours"" (in 8 reviews)', '""good career path, you can be the most senior engineer as all the good engineers are leaving/ fired for the poor management"" (in 3 reviews)', -1]","['""What they mentioned about valuing people, winning as one team is crap, they are not respecting anyone from their heart, such an awful and disgusting management."" (in 12 reviews)', '""Fair compensation, just be caution to your employment contract terms and labour laws."" (in 4 reviews)', -1, -1, -1]",51 to 200 Employees,2016,Company - Private,Financial Transaction Processing,Finance,Unknown / Non-Applicable
89,Software Engineering Internship,"YouTrip Singapore
3.4",3.4,"YouTrip (www.you.co) is a Southeast Asian-focused fintech dedicated to creating the next generation of digital financial services for the region. With its consumer and corporate products, YouTrip and YouBiz, the company empowers users with the most affordable and convenient financial innovations. The company is a Major Payment Institution licensed by the Monetary Authority of Singapore (MAS), and owns principal memberships and issuing licenses with two of the largest card schemes, MasterCard and Visa. It was recognised as a Top FinTech Leader at the SFF Global FinTech Awards 2021 and awarded Best Multi-Currency Mobile Wallet Provider at the APAC Insider’s 2022 Singapore.
Our culture is entrepreneurial, open & inclusive, and teamwork-oriented. We are looking for talents with the aspiration to thrive in a rapidly growing business in the exciting FinTech space.

Job Description: Software Engineering Internship




Flutter, GoLang, Python, Microservice Architecture, AWS, Kubernetes, Kafka, Elasticsearch, Redux, ReactJs, NodeJS, TypeScript, Flutter, Dart



Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"['""can work like a machine cuz the management just want people to follow their commands"" (in 12 reviews)', '""All colleagues are friendly and passionate about what they are doing."" (in 10 reviews)', '""work life balance and flexible hours"" (in 8 reviews)', '""good career path, you can be the most senior engineer as all the good engineers are leaving/ fired for the poor management"" (in 3 reviews)', -1]","['""What they mentioned about valuing people, winning as one team is crap, they are not respecting anyone from their heart, such an awful and disgusting management."" (in 12 reviews)', '""Fair compensation, just be caution to your employment contract terms and labour laws."" (in 4 reviews)', -1, -1, -1]",51 to 200 Employees,2016,Company - Private,Financial Transaction Processing,Finance,Unknown / Non-Applicable
90,Software Engineering Internship,"YouTrip Singapore
3.4",3.4,"YouTrip (www.you.co) is a Southeast Asian-focused fintech dedicated to creating the next generation of digital financial services for the region. With its consumer and corporate products, YouTrip and YouBiz, the company empowers users with the most affordable and convenient financial innovations. The company is a Major Payment Institution licensed by the Monetary Authority of Singapore (MAS), and owns principal memberships and issuing licenses with two of the largest card schemes, MasterCard and Visa. It was recognised as a Top FinTech Leader at the SFF Global FinTech Awards 2021 and awarded Best Multi-Currency Mobile Wallet Provider at the APAC Insider’s 2022 Singapore.
Our culture is entrepreneurial, open & inclusive, and teamwork-oriented. We are looking for talents with the aspiration to thrive in a rapidly growing business in the exciting FinTech space.

Job Description: Software Engineering Internship




Flutter, GoLang, Python, Microservice Architecture, AWS, Kubernetes, Kafka, Elasticsearch, Redux, ReactJs, NodeJS, TypeScript, Flutter, Dart



Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"['""can work like a machine cuz the management just want people to follow their commands"" (in 12 reviews)', '""All colleagues are friendly and passionate about what they are doing."" (in 10 reviews)', '""work life balance and flexible hours"" (in 8 reviews)', '""good career path, you can be the most senior engineer as all the good engineers are leaving/ fired for the poor management"" (in 3 reviews)', -1]","['""What they mentioned about valuing people, winning as one team is crap, they are not respecting anyone from their heart, such an awful and disgusting management."" (in 12 reviews)', '""Fair compensation, just be caution to your employment contract terms and labour laws."" (in 4 reviews)', -1, -1, -1]",51 to 200 Employees,2016,Company - Private,Financial Transaction Processing,Finance,Unknown / Non-Applicable
91,Software Engineering Internship,"YouTrip Singapore
3.4",3.4,"YouTrip (www.you.co) is a Southeast Asian-focused fintech dedicated to creating the next generation of digital financial services for the region. With its consumer and corporate products, YouTrip and YouBiz, the company empowers users with the most affordable and convenient financial innovations. The company is a Major Payment Institution licensed by the Monetary Authority of Singapore (MAS), and owns principal memberships and issuing licenses with two of the largest card schemes, MasterCard and Visa. It was recognised as a Top FinTech Leader at the SFF Global FinTech Awards 2021 and awarded Best Multi-Currency Mobile Wallet Provider at the APAC Insider’s 2022 Singapore.
Our culture is entrepreneurial, open & inclusive, and teamwork-oriented. We are looking for talents with the aspiration to thrive in a rapidly growing business in the exciting FinTech space.

Job Description: Software Engineering Internship




Flutter, GoLang, Python, Microservice Architecture, AWS, Kubernetes, Kafka, Elasticsearch, Redux, ReactJs, NodeJS, TypeScript, Flutter, Dart



Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"['""can work like a machine cuz the management just want people to follow their commands"" (in 12 reviews)', '""All colleagues are friendly and passionate about what they are doing."" (in 10 reviews)', '""work life balance and flexible hours"" (in 8 reviews)', '""good career path, you can be the most senior engineer as all the good engineers are leaving/ fired for the poor management"" (in 3 reviews)', -1]","['""What they mentioned about valuing people, winning as one team is crap, they are not respecting anyone from their heart, such an awful and disgusting management."" (in 12 reviews)', '""Fair compensation, just be caution to your employment contract terms and labour laws."" (in 4 reviews)', -1, -1, -1]",51 to 200 Employees,2016,Company - Private,Financial Transaction Processing,Finance,Unknown / Non-Applicable
92,Software Engineering Internship,"YouTrip Singapore
3.4",3.4,"YouTrip (www.you.co) is a Southeast Asian-focused fintech dedicated to creating the next generation of digital financial services for the region. With its consumer and corporate products, YouTrip and YouBiz, the company empowers users with the most affordable and convenient financial innovations. The company is a Major Payment Institution licensed by the Monetary Authority of Singapore (MAS), and owns principal memberships and issuing licenses with two of the largest card schemes, MasterCard and Visa. It was recognised as a Top FinTech Leader at the SFF Global FinTech Awards 2021 and awarded Best Multi-Currency Mobile Wallet Provider at the APAC Insider’s 2022 Singapore.
Our culture is entrepreneurial, open & inclusive, and teamwork-oriented. We are looking for talents with the aspiration to thrive in a rapidly growing business in the exciting FinTech space.

Job Description: Software Engineering Internship




Flutter, GoLang, Python, Microservice Architecture, AWS, Kubernetes, Kafka, Elasticsearch, Redux, ReactJs, NodeJS, TypeScript, Flutter, Dart



Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"['""can work like a machine cuz the management just want people to follow their commands"" (in 12 reviews)', '""All colleagues are friendly and passionate about what they are doing."" (in 10 reviews)', '""work life balance and flexible hours"" (in 8 reviews)', '""good career path, you can be the most senior engineer as all the good engineers are leaving/ fired for the poor management"" (in 3 reviews)', -1]","['""What they mentioned about valuing people, winning as one team is crap, they are not respecting anyone from their heart, such an awful and disgusting management."" (in 12 reviews)', '""Fair compensation, just be caution to your employment contract terms and labour laws."" (in 4 reviews)', -1, -1, -1]",51 to 200 Employees,2016,Company - Private,Financial Transaction Processing,Finance,Unknown / Non-Applicable
93,Software Engineering Internship,"YouTrip Singapore
3.4",3.4,"YouTrip (www.you.co) is a Southeast Asian-focused fintech dedicated to creating the next generation of digital financial services for the region. With its consumer and corporate products, YouTrip and YouBiz, the company empowers users with the most affordable and convenient financial innovations. The company is a Major Payment Institution licensed by the Monetary Authority of Singapore (MAS), and owns principal memberships and issuing licenses with two of the largest card schemes, MasterCard and Visa. It was recognised as a Top FinTech Leader at the SFF Global FinTech Awards 2021 and awarded Best Multi-Currency Mobile Wallet Provider at the APAC Insider’s 2022 Singapore.
Our culture is entrepreneurial, open & inclusive, and teamwork-oriented. We are looking for talents with the aspiration to thrive in a rapidly growing business in the exciting FinTech space.

Job Description: Software Engineering Internship




Flutter, GoLang, Python, Microservice Architecture, AWS, Kubernetes, Kafka, Elasticsearch, Redux, ReactJs, NodeJS, TypeScript, Flutter, Dart



Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"['""can work like a machine cuz the management just want people to follow their commands"" (in 12 reviews)', '""All colleagues are friendly and passionate about what they are doing."" (in 10 reviews)', '""work life balance and flexible hours"" (in 8 reviews)', '""good career path, you can be the most senior engineer as all the good engineers are leaving/ fired for the poor management"" (in 3 reviews)', -1]","['""What they mentioned about valuing people, winning as one team is crap, they are not respecting anyone from their heart, such an awful and disgusting management."" (in 12 reviews)', '""Fair compensation, just be caution to your employment contract terms and labour laws."" (in 4 reviews)', -1, -1, -1]",51 to 200 Employees,2016,Company - Private,Financial Transaction Processing,Finance,Unknown / Non-Applicable
