,Job Title,Job Description,Salary Range,Minimum Qualification,Certification/License,Outlook,Personality Traits,Career Ladder
41,['Embedded Systems Engineers'],"['An embedded system is a combination of computer hardware, software, and mechanical parts (sensors, actuators, etc.) that is designed to perform a specific function, often in real-time. These systems require a high degree of predictability and reliability; have a variety of requirements that include size, power, safety, security, cost, and regulation; and typically communicate with one another and interact with the physical world via sensors and actuators in a feedback loop. Embedded systems—such as a microcontroller in a car—are usually not apparent to the user, but are integral for the successful completion of a particular function (such as the control of a braking system or power windows). Embedded systems engineers research, design, develop, test, and troubleshoot embedded systems.']","$50,000 to $100,000+",Bachelor's Degree,Required,Faster than the Average,"['Hands On', 'Problem-Solving', 'Technical']","['Embedded Systems Technologist or Technician', 'Embedded Systems Engineer ', 'Lead Project Engineer', 'Engineering Manager ', 'Consulting Firm Owner or Professor  ']"
42,['Enterprise Architects'],"['Enterprise architects create short- and long-term strategic, organizational, and technology-based plans to help companies and other entities gain a competitive edge, save time and money, improve organizational flexibility and information technology (IT) scalability, reduce risk, and meet other goals.']","$75,000 to $100,000+",Bachelor's Degree,Recommended,Faster than the Average,"['Technical', 'Problem-Solving', 'Hands On']","['System Administrator, Network Administrator or Architect, or Database or Solutions Architect ', 'Enterprise Architect ', 'Chief Enterprise Architect ', 'Chief Technology Officer or Chief Information Officer ', 'Consultant or College Professor ']"
43,['ETL Developers'],"['“ETL” is an acronym for “extract, transform, and load.” Informatica, an enterprise cloud data management company, says that ETL is a “three-step data integration process used by organizations to combine and synthesize raw data from multiple data sources into a data warehouse, data lake, data store, relational database, or any other application.” It offers a data integration tool based on ETL architecture. Other popular ETL tools are marketed by Pentaho and Talend. ETL developers design, create, automate, troubleshoot, and support complex ETL applications that are used to organize, transfer, store, and study data.']","$25,000 to $100,000+",Bachelor's Degree,Recommended,Faster than the Average,"['Organized', 'Problem-Solving', 'Technical']","['ETL Developer', 'Lead ETL Developer  ', 'Director of Product Development ', 'Chief Technology Officer or Consultant']"
44,['Fiber Optics Technicians'],"['Fiber optics technicians work with the optical fibers and cables used in transmitting communications data. Depending on the area of employment, technicians splice fibers, fuse fibers together, and install fiber cables beneath the ground and in buildings. These technicians work for telecommunications and cable companies, and other businesses involved in telecommunications. The U.S. Department of Labor reports that approximately 122,700 telecommunications line installers and repairers, including fiber optics technicians, are employed in the United States.']","$25,000 to $100,000",Some Postsecondary Training,Recommended,Little Change or More Slowly than the Average,"['Hands On', 'Problem-Solving', 'Technical']","['Apprentice or Ground Helper ', 'Fiber Optics Technician/Journeyman', 'Manager or Consultant']"
45,['Full Stack Developers/Engineers'],"[""Software applications consist of front-end and back-end components. The front-end consists of the features that the user sees and uses (i.e., the user interface or UI). The back-end consists of the components that are unseen by the user but which are vital for implementing the user's commands. These components include server configuration, database-related processes, and validation of users. At many employers, specialized front-end and back-end developers and engineers handle different tasks during the software design, development, and testing process. But there is also an increasing number of professionals who are responsible for both the front-end and back-end aspects of the development process. They are known as full stack developers and engineers. Medium.com defines a stack as a “set of tools, including languages, frameworks, and other technologies that a developer uses to do their job.” Full stack developers and engineers are those who have an understanding of all these skills and components and who are able to take a software project from start to finish. Full stack can apply to a mobile stack, a Web stack, or a native application stack (i.e., software for specific devices).""]","$50,000 to $100,000+",Bachelor's Degree,Recommended,Much Faster than the Average,"['Problem-Solving', 'Realistic', 'Technical']","['Front-End or Back-End Developer ', 'Full Stack Developer/Engineer', 'Department Managers', 'Director of Product Development', 'Chief Technology Officer']"
46,['Futurists'],"['Futurists use their research and analytical skills to make projections about the future. They typically develop deep knowledge of a specific field (e.g., business, engineering, economics, environmental science, etc.), industry (health care, financial services, solar power, etc.), or country or geographic region (China, Far East, Guatemala, Central America, etc.) before working as a futurist. They are also known as foresight practitioners, futurologists, strategic planners, and strategic foresight professionals. The field of futurism is small. Anecdotally, it’s estimated that there are fewer than 1,000 full-time, professional futurists in the United States.']","$25,000 to $100,000+",Bachelor's Degree,Recommended,Little Change or More Slowly than the Average,"['Creative', 'Curious', 'Problem-Solving']","['Futurist', 'Experienced Futurist ', 'Head of Strategic Foresight Firm ']"
47,['Geospatial Analytics Specialists'],"['Geospatial data is “information that describes objects, events, or other features with a location on or near the surface of the earth,” according to IBM. The surface of the earth refers to elevation, population density, roads, buildings, and other components. Geospatial data typically includes the following components: location information (usually coordinates on the earth that are pinpointed by geographic information systems, via the Global Positioning System and other technology), attribute information, and temporal information (the time or life span at which the location and attributes exist). This type of data can include satellite imagery, weather data, census data, high-resolution imagery, cell phone data, information collected by sensors, drawn images, drone data, social media data, and other types of information. Geospatial analytics specialists (GASs) collect, analyze, and disseminate geospatial data in order to extract structured data that can be used for specific applications and industries. This data can be utilized to understand recent or ongoing events or to try to predict human behavior or natural phenomena and prepare for future events.']","$25,000 to $100,000+",Bachelor's Degree,Recommended,About as Fast as the Average,"['Problem-Solving', 'Scientific', 'Organized']","['Entry-Level Geospatial Analytics Specialist', 'Experienced Geospatial Analytics Specialist ', 'Manager ', 'Consultant or Professor ']"
48,['Graphic Designers'],"['Graphic designers, also known as graphic artists, are practical artists whose creations are intended to express ideas, convey information, or draw attention to a product. They design a wide variety of materials including advertisements, marketing materials, displays, packaging, signs, computer graphics and games, book and magazine covers and interiors, animated characters, Web pages, interactive media, and company logos to fit the needs and preferences of their various clients. There are 290,100 graphic designers employed in the United States.']","$25,000 to $100,000+",Bachelor's Degree,Recommended,Little Change or More Slowly than the Average,"['Artistic', 'Creative', 'Technical']","['Graphic Arts Technician or Assistant', 'Graphic Designer', 'Chief Designer or Design Department Head ', 'Art Director or New Media Producer']"
49,['Graphics Programmers'],"['Graphics programmers write the code that produces two- and three-dimensional illustrations with color, lighting, shading, morphing, animation, and special effects. They create new programs for animation and graphics for computer and video games and Web sites; medical imaging devices; geological research; virtual testing systems for aircrafts, cars, and spacecraft; and special effects and animation for Hollywood productions.']","$25,000 to $100,000+",Bachelor's Degree,Recommended,Decline,"['Artistic', 'Creative', 'Technical']","['Junior Graphics Programmer ', 'Graphics Programmer ', 'Lead Programmer ', 'Systems Analyst, or Computer Engineer, or Computer Consultant']"
50,['Hardware Engineers'],"['Hardware engineers design, build, and test computer hardware (such as computer chips and circuit boards) and computer systems. They also work with peripheral devices such as printers, scanners, modems, and monitors, among others, as well as with virtual and augmented reality technology and gaming technologies. Hardware engineers are employed by a variety of companies, some of which specialize in business, accounting, science, or engineering. Most hardware engineers have a degree in computer science or engineering or an equivalent computer background. There are approximately 64,400 hardware engineers employed in the United States.']","$50,000 to $100,000+",Bachelor's Degree,Recommended,About as Fast as the Average,"['Problem-Solving', 'Scientific', 'Technical']","['Junior Hardware Engineer', 'Hardware Engineer', 'Systems Architect or Manager']"
51,['Health Informaticists'],"['Health informaticists use information technology to collect, organize, and analyze health-related data. This data is used to improve patient health outcomes, assess and track health and disease trends, improve hospital quality, and meet other goals. Health informaticists are also known as health informatics specialists.']","Below $25,000 to $100,000+",Bachelor's Degree,Recommended,About as Fast as the Average,"['Organized', 'Problem-Solving', 'Scientific']","['Data Analyst', 'Experienced Health Informaticist ', 'Health Informatics Director ', 'Chief Medical Information Officer, or Consultant, or Professor ']"
52,['Information Assurance Analysts'],"['Information assurance analysts ensure that data is protected during processing, storage, transmission, and usage. They assess risk factors and take steps to protect the data and the systems used to facilitate its use or storage from cyber criminals and spies, or from accidental release to the media, business competitors, or foreign governments. This data can range from credit card information and medical records, to trade secrets and intellectual property, to top secret government intelligence. Information assurance analysts (IAAs) are most commonly responsible for protecting digital data, but some also protect hard-copy data. They are also known as information assurance officers.']","$50,000 to $100,000+",Bachelor's Degree,Recommended,Much Faster than the Average,"['Hands On', 'Problem-Solving', 'Technical']","['Information Technology Worker', 'Information Assurance Analyst', 'Senior Information Assurance Analyst  ', 'Information Assurance Manager  ', 'Consultant or Chief Data/Security Officer']"
53,['Information Technology Consultants'],"['Information technology (IT) consultants, also known as computer consultants and digital consultants, help clients design and implement IT systems or develop better IT practices; provide strategic advice on social media and IT issues; and train staff members working in IT areas such as hardware/software design and setup, computer security, network setup and administration, and search engine marketing.']","$25,000 to $100,000+",Bachelor's Degree,Recommended,Much Faster than the Average,"['Creative', 'Problem-Solving', 'Technical']","['Associate Information Technology Consultant', 'Information Technology Consultant', 'Partner, Information Technology Consulting Firm']"
54,['Information Technology Infrastructure Engineers'],"['Information technology infrastructure engineers design, install, maintain, troubleshoot, and repair information technology (IT) infrastructure. ']","$25,000 to $100,000+",Bachelor's Degree,Recommended,Faster than the Average,"['Technical', 'Hands On', 'Problem-Solving']","['Network Administrator, Systems Administrator, or Technical Support Specialist', 'Entry-Level IT Infrastructure Engineer ', 'Experienced IT Infrastructure Engineer', 'Chief Information Officer (or other executive-level position), Consultant, or Professor']"
55,['Internet Consultants'],"['Internet consultants use their technological and computer skills to help people or businesses access and utilize the Internet. Their work may include implementing or refining a computer network, creating a Web site, establishing an online ordering or product support system, or training employees to maintain and update their newly established Web site. Some consultants work independently, and others may be employed by a consulting firm.']","$25,000 to $100,000+",Bachelor's Degree,Recommended,Much Faster than the Average,"['Enterprising', 'Helpful', 'Problem-Solving']","['Internet Marketing Assistant', 'Internet Consultant', 'Department Head', 'Consulting Firm Owner']"
56,['Internet of Things Developers'],"['The Internet of Things (IoT) is a rapidly growing network of computers, mobile devices, and other physical objects (e.g., wearable fitness trackers, connected appliances, industrial monitoring equipment, light bulbs that upload data about energy consumption) that are connected to the Internet via embedded sensors, processors, and software. These devices collect and share data via a worldwide communications infrastructure and interact without the need for human involvement. Internet of Things developers are responsible for all aspects of the IoT software, system, or other product lifecycle, such as design, setup, configuration, debugging, maintenance, and connectivity. They also focus on cloud services, data acquisition and analytics, and cybersecurity.\nInternet of Things developers are also known as Internet of Things engineers. At some employers, developers and engineers may have different duties. In this scenario, a developer would be a “jack of all trades” with general experience in a wide range of areas, while an engineer might perform many of the same duties as developers, but also have extensive experience in a particular area (such as cloud engineering or hardware engineering) and extensive project management experience. For the purposes of this article, we will use “IoT developer” to refer to both developers and engineers.']","$50,000 to $100,000+",Bachelor's Degree,Recommended,Much Faster than the Average,"['Technical', 'Problem-Solving', 'Organized']","['Software Tester', 'Entry-Level IoT Developer', 'Experienced IoT Developer ', 'Lead IoT Developer  ', 'Chief Technology Officer, Chief IoT Officer, Consultant, or Professor']"
57,['JavaScript Developers'],"['JavaScript is a popular, text-based programming language that is most-often used to create front-end applications such as responsive and interactive web pages, but it is also utilized to create back-end components. The front-end consists of the features that the user sees and uses (i.e., the user interface). The back-end consists of the components (server configuration, database-related processes, and validation of users) that are unseen by the user, but which are vital for implementing the commands of the user. JavaScript developers use JavaScript and other programming languages to create Web pages, make mobile apps, develop back-end components, and meet other goals.']","$50,000 to $100,000+",Bachelor's Degree,Recommended,Faster than the Average,"['Creative', 'Technical', 'Problem-Solving']","['Software Tester', 'Entry-Level JavaScript Developer ', 'Experienced JavaScript Developer ', 'Director of Product Development', 'Chief Technology Officer, Consultant, or Professor  ']"
58,['Microelectronics Technicians'],"['Microelectronics technicians work in research laboratories assisting the engineering staff to develop and construct prototype and custom-designed microchips. Microchips, often called simply chips, are tiny but extremely complex electronic devices that control the operations of many kinds of communications equipment, consumer products, industrial controls, aerospace guidance systems, and medical electronics. The process of manufacturing chips is often called fabrication. Approximately 130,500 electrical and electronics engineering technicians are employed in the United States.']","$25,000 to $100,000",Apprenticeship,Recommended,Little Change or More Slowly than the Average,"['Hands On', 'Realistic', 'Technical']","['Intern or Trainee', 'Microelectronics Technician', 'Electronics Engineer']"
59,['Mathematicians'],"['A mathematician solves or directs the solution of problems in higher mathematics, including algebra, geometry, number theory, logic, and topology. Theoretical mathematicians work with the relationships among mathematical forms and the underlying principles that can be applied to problems, including electronic data processing and military planning. Applied mathematicians develop the techniques and approaches to problem solving in the physical, biological, and social sciences. Approximately 2,580 mathematicians are employed in academic and nonacademic settings in the United States. In addition, 51,250 mathematical science teachers are employed by colleges and universities across the country.']","$50,000 to $100,000+",Doctorate,Required,Much Faster than the Average,"['Conventional', 'Realistic', 'Scientific']","['Entry-Level Mathematician', 'Mathematician  ', 'Manager or Professor ']"
60,['Model View Controller Developers'],"['“Model view controller” (MVC) is the name of a methodology (or design pattern) that software developers use to divide an application into three manageable and interconnected components and organize code. Using this methodology facilitates code reuse and reduces the time it takes to develop complex applications. The controller component sends commands from software users to the model and view components. The model component stores data, and the view component presents the layout and display of the data to the user. The MVC methodology is widely used in program development with programming languages such as C++, C, Java, and Smalltalk. Model view controller developers use the MVC methodology—and Web application frameworks such as ASP.NET MVC, Apache Struts, Spring MVC, and Cake PHP—to design prepackaged and customized computer software. (Frameworks are libraries of programming languages that developers use to create the front-end and back-end structure of a Web site.)']","$50,000 to $100,000+",Bachelor's Degree,Recommended,Much Faster than the Average,"['Hands On', 'Problem-Solving', 'Technical']","['Entry-Level MVC Developer', 'Experienced MVC Developer  ', 'Lead MVC Developer ', 'Department Manager', 'Chief Technology Officer or Consultant ']"
61,['Network Operations Center Engineers'],"['A network operations center (NOC) is a centralized location where an organization’s network (routers, servers, switches, etc.), databases, firewalls, and other information technology (IT) infrastructure is located. Network operations center engineers design, install, configure, administer, monitor, repair, and maintain computer networks and other infrastructure to ensure that it’s functioning as designed and that systems are protected from cyberattacks. When a problem (connection issues, malware attack, etc.) is detected, they assess the situation and respond accordingly so that normal service is maintained or re-established.']","$25,000 to $100,000",Associate's Degree,Recommended,About as Fast as the Average,"['Technical', 'Problem-Solving', 'Hands On']","['NOC Technician ', 'Entry-Level NOC Engineer ', 'Senior NOC Engineer ', 'Director of Network Operations, College Professor, or Consultant ']"
62,['Network Operations Center Technicians'],"['A network operations center (NOC) is a centralized location where a company’s network, databases, firewalls, and other information technology (IT) infrastructure is located. Network operations center technicians administer, monitor, repair, and maintain networks (routers, servers, switches, etc.) and other infrastructure to ensure that it’s functioning as designed and that systems are protected from cyberattacks. If they detect an issue, they assess the situation and respond accordingly so that normal service is maintained or re-established.']","$50,000 to $100,000+",High School Diploma,Recommended,About as Fast as the Average,"['Hands On', 'Problem-Solving', 'Technical']","['NOC Technician I', 'NOC Technician II–IV ', 'NOC Engineer ', 'Director of Network Operations or College Professor ']"
63,['Online Gambling Specialists'],"['Online gambling is the act of betting on table games (poker, blackjack, etc.), chance-based games (lottery, roulette, bingo), and sports on the Internet. It is legal in some U.S. states and foreign countries such as England, Australia, New Zealand, and France. Online gambling specialist is an umbrella term for professionals who work in a variety of areas related to online gambling, including software development, Web design, user experience, data security, marketing, advertising, customer service, and gambling addiction prevention. These workers are also known as Internet gambling specialists.']","$25,000 to $100,000+",Associate's Degree,Recommended,About as Fast as the Average,"['Technical', 'Problem-Solving', 'Organized']","['Entry-Level Online Gambling Specialist', 'Experienced Online Gambling Specialist ', 'Manager ', 'Consultant ']"
64,['Personal Privacy Advisors'],"['Personal privacy advisors educate their clients about data security and online privacy and work with them to ensure that their computers, tablets, phones, and other digital devices are protected from cyberattacks. They are also known as personal privacy consultants.']","Below $25,000 to $100,000",High School Diploma,Recommended,About as Fast as the Average,"['Problem-Solving', 'Technical', 'Helpful']","['Personal Privacy Advisor ', 'Personal Privacy Firm Owner', 'Online Reputation Manager', 'Information Security Analyst']"
65,['Product Owners'],"['Product owners are key members of software development teams that use the Agile methodology, an iterative approach to project management. Scrum is the most-popular development process (or framework) within the Agile methodology. It is a “lightweight framework that helps people, teams, and organizations generate value through adaptive solutions for complex problems,” according to the Scrum Guide: The Definitive Guide to Scrum-The Rules of the Game, which was written by Ken Schwaber and Jeff Sutherland—the co-developers of Scrum. Product owners work to maximize the quality of the product created by the Scrum team by managing the product backlog and performing other duties that vary by employer. They also be known as product champions, product directors, and value managers.']","$75,000 to $100,000+",Bachelor's Degree,Recommended,Faster than the Average,"['Hands On', 'Outgoing', 'Problem-Solving']","['Scrum Master', 'Agile Coach ', 'Product Owner ', 'Director of Product Development or Other Executive-Level Position ', 'Consulting Firm Owner or Professor ']"
66,['Project Managers'],"['Project managers plan, execute, monitor, supervise, and close projects of all sizes. They supervise staff, manage budgets, and perform many other duties to take a project from start to finish. Project managers are also known as project management specialists.']","$25,000 to $100,000+",Bachelor's Degree,Recommended,Faster than the Average,"['Hands On', 'Organized', 'Problem-Solving']","['Lower-Level Manager', 'Project Manager ', 'Program Manager ', 'Portfolio Manager ', 'Vice President of Project Management, Other Executive-Level Careers, Consultant ']"
67,['Scrum Masters'],"['The Agile methodology is an iterative approach to project management in software development and other fields. Scrum is the most-popular framework within the Agile methodology. It is a “lightweight framework that helps people, teams, and organizations generate value through adaptive solutions for complex problems,” according to the Scrum Guide: The Definitive Guide to Scrum-The Rules of the Game, which was written by Ken Schwaber and Jeff Sutherland—the co-developers of Scrum. A good way to understand Agile and its various frameworks is to think of Agile as “ice cream” and its frameworks as “flavors.” All of the frameworks are forms of Agile, but have different qualities and features. Scrum masters teach, train, and inspire Scrum teams. Scrum masters also may be known as iteration managers and Scrum team coaches.']","$75,000 to $100,000+",Bachelor's Degree,Recommended,Faster than the Average,"['Helpful', 'Outgoing', 'Problem-Solving']","['Scrum Team Member', 'Scrum Master ', 'Agile Coach ', 'Manager or Executive', 'Consulting Firm Owner or Professor ']"
68,['Semiconductor Technicians'],"['Semiconductor technicians are highly skilled workers who test new kinds of semiconductor devices (which are commonly known as integrated circuits or microchips) being designed for use in many kinds of modern electronic equipment. They may also test samples of devices already in production to assess production techniques. They help develop and evaluate the test equipment used to gather information about the semiconductor devices. Working under the direction provided by engineers in research laboratory settings, they assist in the design and planning for later production or help to improve production yields. Semiconductor technicians are also known as semiconductor processors. Approximately 98,583 people were employed in the semiconductor and circuit manufacturing industry in 2020, according to IBISWorld.']","$25,000 to $75,000",Associate's Degree,Recommended,Decline,"['Hands On', 'Problem-Solving', 'Technical']","['Trainee', 'Semiconductor Technician', 'Senior Semiconductor Technician', 'Manager', 'Engineer or Designer']"
69,['Software Application Developers'],"['Software application developers devise applications, often referred to as apps, such as word processing programs, data storage programs, and spreadsheet programs that make it possible for computers to complete given tasks and to solve problems. They also design and build Web browsing applications and software applications for mobile devices such as smartphones. Once a need in the market has been identified, software developers first conceive of the program on a global level by outlining what the program will do. Then they write the specifications from which programmers code computer commands to perform the given functions. Software application developers are also known as mobile application developers, software application builders, and software application designers. Approximately 1,469,200 software application developers are employed in the United States.']","$50,000 to $100,000+",Bachelor's Degree,Recommended,Much Faster than the Average,"['Creative', 'Problem-Solving', 'Technical']","['Computer Programmer', 'Software Application Developer', 'Software Project Team Leader', 'Software Manager or Independent Consultant']"
70,['Software Quality Assurance Testers'],"['Software quality assurance testers, also known as software quality assurance analysts, examine new or modified computer software applications to evaluate whether or not they perform as intended. Testers might also verify that computer-automated quality assurance programs function properly. Their work entails trying to crash computer programs by punching in certain characters very quickly, for example, or by clicking the mouse on the border of an icon. They keep very close track of the combinations they enter so that they can replicate the situation if the program does crash. They also offer opinions on the user-friendliness of the program. They report in detail any problems they find or suggestions they have both verbally and in writing to supervisors.']","$50,000 to $100,000+",High School Diploma,Recommended,Faster than the Average,"['Hands On', 'Problem-Solving', 'Technical']","['Entry-Level Software Quality Assurance Tester', 'Experienced Software Quality Assurance Tester', 'Quality Assurance Supervisor or Quality Assurance Analyst ', 'Programmer, or Software Designer, or Engineer']"
71,['Solutions Architects'],"['Solutions architects design, plan, and deliver technology strategies that help companies and other organizations solve problems or launch new products, systems, or services. They oversee projects from the brainstorming phase to the finished product or implementation of the solution. Solutions architects work for a variety of companies and organizations ranging from Google and Apple, to the U.S. Departments of Education and Defense, to colleges and universities. They are also known as information technology architects and project architects.']","$75,000 to $100,000+",Bachelor's Degree,Recommended,Much Faster than the Average,"['Organized', 'Problem-Solving', 'Technical']","['Solutions Architect', 'Lead Solutions Architect ', 'Chief Technology Officer ', 'Chief Information Officer  ', 'CEO or Chief Operating Officer ']"
72,['Systems Setup Specialists'],"[""Systems setup specialists install new computer systems and upgrade existing ones to meet the specifications of the client. They install hardware, such as memory, sound cards, fax/modems, fans, microprocessors, and systems boards. They also load software and configure the hard drive appropriately. Some systems setup specialists install computer systems at the client's location. Installation might include normal hard drive or network server configurations as well as connecting peripherals such as printers, phones, scanners, modems, and numerous terminals. They might also be involved with technical support in providing initial training to users. Systems setup specialists work for computer manufacturing companies or computer service companies nationwide, or they may be employed as part of the technical support department of many businesses. Systems setup specialists are sometimes called technical support technicians, desktop analyst/specialists, and PC setup specialists.""]","$25,000 to $100,000",High School Diploma,Recommended,Much Faster than the Average,"['Hands On', 'Problem-Solving', 'Technical']","['Intern', 'Systems Setup Specialist', 'Manager', 'Computer Engineer or Consulting Business Owner']"
73,['Technical Support Specialists'],"['Technical support specialists investigate and resolve problems in computer functioning. They listen to customer complaints, walk customers through possible solutions, and write technical reports based on their work. Technical support specialists have different duties depending on whom they assist and what they fix. Regardless of specialty, all technical support specialists must be knowledgeable about the products with which they work and be able to communicate effectively with users from different technical backgrounds. There are approximately 882,300 computer support specialists employed in the United States.']","$25,000 to $100,000",Associate's Degree,Recommended,Much Faster than the Average,"['Helpful', 'Problem-Solving', 'Technical']","['Entry-Level Technical Support Specialist', 'Experienced Technical Support Specialist ', 'Technical Support Manager ', 'Software Engineer']"
74,['Technical Writers and Editors'],"['Technical writers, sometimes called technical communicators, express technical and scientific ideas in easy-to-understand language. Technical editors revise written text to correct any errors and make it read smoothly and clearly. They also may coordinate the activities of technical writers, technical illustrators, and other staff in preparing material for publication and oversee the document development and production processes. Technical writers hold about 58,400 jobs and editors, including technical editors, hold about 118,700 jobs in the United States.']","$25,000 to $100,000+",Bachelor's Degree,None,Faster than the Average,"['Helpful', 'Organized', 'Technical']","['Editorial Assistant, or Copy Editor, or Proofreader, or Research Assistant', 'Technical Writer', 'Technical Editor', 'Senior Writer or Editor', 'Project Manager or Freelance Business Owner ']"
75,['Technology Ethicists'],"[""Technology ethicists, who may also be artificial intelligence ethicists, review and assess companies' use of technologies to ensure they comply with ethical standards. They make sure that the technologies are used in ways that do not violate users' security and privacy. The Department of Labor does not provide data on technology ethicists, but reports that in May 2020, there were 32,700 computer and information research scientists, a sector that may include technology ethicists, employed in the United States.""]","$50,000 to $100,000+",Bachelor's Degree,Recommended,Much Faster than the Average,"['Realistic', 'Technical', 'Problem-Solving']","['Intern, Technology Ethics', 'Junior Consultant, Technology Ethicist', 'Technology Ethicist', 'Senior Technology Ethicist, Technology Ethics Manager']"
76,['Wireless Service Technicians'],"['Wireless service technicians are responsible for maintaining a specified group of cell sites, including the radio towers, cell site equipment, and often the building and grounds for the sites. Technicians routinely visit and monitor the functioning of the on-site equipment, performing preventive testing and maintenance. They also troubleshoot and remedy problems that might arise with any of their sites. Most wireless service technicians spend their work time at various locations, visiting each of their cell sites as necessary.']","$25,000 to $100,000",Associate's Degree,None,Decline,"['Hands On', 'Organized', 'Technical']","['Entry-Level Wireless Service Technician', 'Experienced Wireless Service Technician', 'Switch Technician, or Switch Engineer, or System Performance Worker', 'Supervisor ']"
