,Job Title,Company,Company Rating,Job Description,Salary,Location,Career Opportunities,Company Benefits,Culture & Values,Upper Management,Work Life Balance,Company Pros Reviews,Company Cons Reviews,Company Size,Company Founded,Company Type,Company Industry,Company Sector,Company Revenue
0,Instrumentation & Control Engineer,Conny Tech,-1,"Come help develop the future of software used in industrial automation. We are seeking individual with a real passion for learning that are curious and often challenge the status quo. Attitude, aptitude and integrity are central to all successful applicants. Together, we work to build our primary product, PCO.
PLC programmers are responsible for programming assembly lines, robotic devices, or other manufacturing processes using programmable logic controllers (PLC). This role is ideal for a detail-oriented, logical thinker who enjoys working with different machines in combination with computers. PLC programmers work full time but experience a moderate amount of travel and activity in the workplace, such as supervising the installation of their programs and machinery.
The daily responsibility involvement includes of the following;
Design and perform detailed designing for machine electrical control systems;

Show More
Report",Employer Provided Salary:$4K - $5K,Bedok New Town,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",-1,-1,-1,-1,-1,-1
1,Analyst Programmer / Systems Analyst (Digital Solutions Department) [NIE],"Nanyang Technological University
3.9",3.9,"ABOUT THE NATIONAL INSTITUTE OF EDUCATION (NIE)
The National Institute of Education (NIE), Singapore, is Singapore’s national teacher education institute and we are proud to be an integral part of the nation’s education service. We play a key role in the preparation of teachers and in the provision of teacher professional and school leadership development programmes. We are committed to our vision of being An Institute of Distinction: Leading the Future of Education and our mission to Inspire Learning, Transform Teaching and Advance Research. Read more about NIE
here
.
NIE invites suitable candidates to join the Division of Academic Computing & Information Services (ACIS) as an Analyst Programmer/Systems Analyst. This is a 2-year contract post.
The candidate should be a dynamic IT professional who is a good team player and a strong software developer.
Job Description


Hiring Institution: NIE
Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"['""Work life balance is definitely there."" (in 6 reviews)', '""Good and friendly colleagues who will help."" (in 5 reviews)', '""Good benefit and good colleagues."" (in 2 reviews)', -1, -1]","['""Toxic colleagues and environment"" (in 5 reviews)', '""No communication with management"" (in 4 reviews)', '""Poor Management"" (in 2 reviews)', -1, -1]",5001 to 10000 Employees,1991,College / University,Colleges & Universities,Education,$100 to $500 million (USD)
2,APPLICATIONS / SYSTEMS PROGRAMMER,"OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD
4.1",4.1,"Optimum Solutions (Registration Number: 199700895N) is Singapore's leading Information Technology , Consulting and Professional Services company with Competence in Digital Transformation, Automation, Robotics, Cloud, Big Data, Analytics and Emerging technologies projects. Optimum has been successfully delivering IT projects since 1997 and has been a key IT service provider to clients delivering Software Design, Development, Engineering and IT Transformation Projects.

APPLICATIONS / SYSTEMS PROGRAMMER

Key Job Duties:
Show More
Report",Employer Provided Salary:$7K - $11K,Singapore,3.9,3.8,3.9,3.8,4.0,"['""1. Timely salary on every 6th or 7th"" (in 23 reviews)', '""Medical Benefits good."" (in 6 reviews)', '""Account Manager, Karen was very helpful and prompt."" (in 6 reviews)', '""Giving you a good opportunity,"" (in 3 reviews)', '""People are so lovely and friendly here, from the moment you have an interview everyone is so kind and welcoming."" (in 4 reviews)']","['""1. Tried to scam me by including a penalty clause of 1 month salary ON TOP OF notice period required, if I resigned."" (in 23 reviews)', '""No professional growth and no benefits"" (in 6 reviews)', '""Not every Account Manager is the same."" (in 6 reviews)', -1, -1]",1001 to 5000 Employees,1997,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD)
3,Developer /Anlayst Programmer / Tester JR18792,"INFOGAIN SOLUTIONS PTE. LIMITED
2.4",2.4,"Find Your Dream Job With Us
WE ARE HIRING !! Apply now and make a difference.

Role: Developer (Credit Admin)
Job Title : Analyst Programmer/Tester
Job Requisition Number : JR18792
Job Level : 6 - 9 years of relevant experience (L3)
Location : Singapore














Show More
Report",Employer Provided Salary:$7K - $10K,Singapore,2.8,2.2,3.0,3.2,3.2,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",Unknown,Company - Private,Unknown / Non-Applicable,-1,-1,-1
4,Intern – Front End Programmer,"AZENDIAN
2.8",2.8,"Intern – Front End Programmer
Intern, Full-Time
Singapore
What We Do Matters
Azendian Solutions is an Artificial Intelligence, data science solutions and operations technology start-up, contributing to smart city solutions with a current focus on Education and the Built Environment. We also have a thriving data science consulting and system integration practice. We are expanding into new markets and domains. If you enjoy working for a visionary in a fast, dynamic environment and have what it takes to succeed, join us in our transformation and growth story.
Job Responsibilities
Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",51 to 200 Employees,2015,Company - Private,Colleges & Universities,Education,Unknown / Non-Applicable
5,Research Associate (Programmer for Adaptive Learning),"National University of Singapore
4.1",4.1,"Date: 12 Sep 2023
Location: COLLEGE OF DESIGN & ENG, Kent Ridge Campus, SG
Company: National University of Singapore
Job Description

The successful candidates will contribute to research activities related to evaluation and development of an online adaptive learning system for teaching project management skills to construction professionals. The candidates shall work under the supervision of the Principal Investigator (PI) to conduct programming, academic research and administrative work. Specific job activities may include:




Show More
Report",$42K - $65K (Glassdoor Est.),Singapore,3.6,3.5,3.8,3.6,3.9,"['""You will get a high salary"" (in 364 reviews)', '""Good work life balance and you get to manage your own progression"" (in 320 reviews)', '""Colleague are friendly and helpful."" (in 113 reviews)', '""Good benefits and welfare perks"" (in 150 reviews)', -1]","['""Low salary and hard to be promoted"" (in 364 reviews)', '""No work life balance."" (in 320 reviews)', '""Always have lazy colleagues."" (in 113 reviews)', '""No career progression for engineering and management track."" (in 225 reviews)', '""Can be low pay and benefits are mot really there"" (in 150 reviews)']",10000+ Employees,1905,College / University,Colleges & Universities,Education,Unknown / Non-Applicable
6,Research Engineer (Programmer for Adaptive Learning),"National University of Singapore
4.1",4.1,"Date: 3 Sep 2023
Location: COLLEGE OF DESIGN & ENG, Kent Ridge Campus, SG
Company: National University of Singapore
Job Description

The successful candidates will contribute to research activities related to evaluation and development of an online adaptive learning system for teaching project management skills to construction professionals. The candidates shall work under the supervision of the Principal Investigator (PI) to conduct programming, academic research and administrative work. Specific job activities may include:






Show More
Report",$48K - $60K (Glassdoor Est.),Singapore,3.6,3.5,3.8,3.6,3.9,"['""You will get a high salary"" (in 364 reviews)', '""Good work life balance and you get to manage your own progression"" (in 320 reviews)', '""Colleague are friendly and helpful."" (in 113 reviews)', '""Good benefits and welfare perks"" (in 150 reviews)', -1]","['""Low salary and hard to be promoted"" (in 364 reviews)', '""No work life balance."" (in 320 reviews)', '""Always have lazy colleagues."" (in 113 reviews)', '""No career progression for engineering and management track."" (in 225 reviews)', '""Can be low pay and benefits are mot really there"" (in 150 reviews)']",10000+ Employees,1905,College / University,Colleges & Universities,Education,Unknown / Non-Applicable
7,Analyst Programmer (Contract/Credit Administration),"TANGSPAC CONSULTING PTE LTD
4.2",4.2,"Position: Analyst Programmer
Domain: Banking & Finance – Credit Administration, Limits & Exposures, Collateral Management
Employment Type: 6 months Agency Contract (Highly Renewable)
Location: Alexandra

Responsibilities:
Gather and analyse users requirements and prepare/update Functional Specifications
Perform technical analysis and design and prepare/update System Technical Specifications
Implementing solutions that align with the organization's business objectives.





Show More
Report",Employer Provided Salary:$8K - $11K,Singapore,4.6,4.2,4.7,4.9,4.3,"['""Good benefit for this company"" (in 2 reviews)', '""recuiptment process was fast and easy"" (in 1 reviews)', -1, -1, -1]","['""always delay salary , When i left they hold my 2 months salary."" (in 3 reviews)', -1, -1, -1, -1]",201 to 500 Employees,1994,Company - Private,HR Consulting,Human Resources & Staffing,$5 to $25 million (USD)
8,Applications/Systems Programmer (PostgreSQL/Sybase) – L2-2615,"ASPIRE NXT PTE. LTD.
2.9",2.9,"Job Detailed Description
The Programmer has a wide spectrum of responsibilities and actions. Person will be responsible for following (but not limited to) responsibilities in day-to-day work:
As the Programmer of the team, he/she:
act as the last level of escalation for the team members
own Incident, Problem and change management process for the team
assigns technical tasks and manages delegation
animates the team to encourage collaboration and sharing of practices
participates to recruitment process for the team


Show More
Report",Employer Provided Salary:$8K - $9K,Singapore,2.9,2.3,2.8,2.6,3.0,"['""Very good team members, very supportive....work environment is nice"" (in 1 reviews)', -1, -1, -1, -1]","['""No job security."" (in 2 reviews)', -1, -1, -1, -1]",51 to 200 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
9,Software Developer / IT Programmer,"Top Global Limited
4.5",4.5,"Responsibilities:
Develop and enhance products & software solutions, to meet the fast-changing market needs and expectations
Automate and streamline business processes through solutions development
Conduct solutions quality assurance testing based on given test plans
Provide technical support
Deep level analysis, troubleshooting and resolving technical issues in multiple application
Unit testing on programs developed or maintained
Requirements:
Minimum Diploma in Information Technology and/or Degree in Computer Science from recognized institution




Show More
Report",$36K - $108K (Glassdoor Est.),Singapore,3.5,4.0,4.0,3.5,4.0,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",Unknown,Company - Private,Unknown / Non-Applicable,-1,-1,-1
10,Applications/Systems Programmer (Middleware),"TRINITY CONSULTING SERVICES PTE. LTD.
4.1",4.1,"Minimum Bachelor’s Degree in Computer Science / Information Technology / Computer Engineering or equivalent
Minimum 4 years of experience in the following technical platforms:
o Operating Systems: Linux, Unix and/or Windows
o Middleware Technologies: Axway Products, BMC Control-M,
o Monitoring and Data analytics tools: OMI, ServiceNow, Geneos
o Scripting tools: Java, Unix Shell, Python, PowerShell, perl
Good understanding of ITIL Service Management framework such as Incident, Problem, and Change processes
Show More
Report",Employer Provided Salary:$5K - $9K,Singapore,3.8,3.5,4.1,3.5,4.1,"['""Very honest in terms of handling the cases related to sexual harassment or any."" (in 1 reviews)', '""This Consultancy is Good in Terms Of quickly arranging interviews, quick feedback from the clients and good HR And Management Policies In terms of clearly dictating and communicating the things to the employee."" (in 1 reviews)', -1, -1, -1]","['""No Company Benefits, No Bonus, Very Less PL and CL."" (in 1 reviews)', -1, -1, -1, -1]",1 to 50 Employees,2015,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
11,Embedded Systems Programmer / Engineer,"Continental Electronics
5.0",5.0,"Job Description

The Opportunity
Solving problems and tinkering with hardware & software fascinates you. You love building with clean codes. We are looking for our next Full-Stack Embedded Systems Engineer to develop Hardware-as-a-Service solutions.
You will be involved in Smart Nation initiatives. You’ll also work closely with internal and external product developers, designers, engineers and technicians to create innovative working prototypes
Cross-functional role, which gives a more holistic view of an entire product cycle.

















Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",Unknown,Company - Public,Unknown / Non-Applicable,-1,-1,-1
12,ERP Software Programmer,"HashMicro Pte Ltd
4.4",4.4,"Remote
Responsibilities:
Coordinating with development teams to determine application requirements.
Writing scalable code using Odoo Framework
Testing and debugging applications.
Analyze, design and optimize database structure.
Developing back-end components.
Integrating user-facing elements using server-side logic.
Show More
Report",-1,Remote,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",51 to 200 Employees,2015,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
13,Application Programmer (Capital Markets)-2758,"ASPIRE NXT PTE. LTD.
2.9",2.9,"Main Responsibilities
Provide level 1 and level 2 application support (technical and functional) to a portfolio of counterpart credit risk applications.
Analyze and manage incidents/problems/requests coming from users
Process and issue daily, weekly and monthly reporting on data quality of risk chain in which the activity is usually more intense on monthly run.
Supervise and monitor daily and monthly chains and handle user request by working
closely with project, infrastructure and production teams
Support overnight batches which take place during the Singapore Morning and early afternoon time to ensure that problems are swiftly analyzed and resolved to minimize down-time.
Show More
Report",Employer Provided Salary:$5K - $6K,Singapore,2.9,2.3,2.8,2.6,3.0,"['""Learn new more technologies and friendly in nature but assign more than one project...there is no one specific RM."" (in 3 reviews)', '""The leadership teams are very approachable even for a new joinee."" (in 3 reviews)', -1, -1, -1]","['""No salary (number one cheeting company if they don\'t have project so they won\'t pay you )"" (in 5 reviews)', '""No work life balance"" (in 2 reviews)', '""In addition, the HR management was often unresponsive and unprofessional, making it extremely challenging to resolve any workplace"" (in 5 reviews)', -1, -1]",51 to 200 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
14,Applications/Systems Programmer (Postgre SQL/Sybase DBA),"TRINITY CONSULTING SERVICES PTE. LTD.
4.1",4.1,"Should be a bachelors/masters/engineering graduate or equivalent technical degree in Information Technology or Computer Science;
5 - 8 years of Applications/Systems Programmer (PostgreSQL/Sybase) experience in administration and management of IT Database technologies primarily Sybase ASE & Replication , PostgreSQL cluster with replication solutions;
Knowledge of different domains of IT Security;
Working & hands-on experience in administering the DB technologies;
Must have experience in working in similar Production setup in Run (Operations) mode;
Ability to apply risk based approach while working on assigned responsibilities;
Experience in defining, implementing, and enforcing Database Security policies for data security solutions;
Show More
Report",Employer Provided Salary:$5K - $9K,Singapore,3.8,3.5,4.1,3.5,4.1,"['""Very honest in terms of handling the cases related to sexual harassment or any."" (in 1 reviews)', '""This Consultancy is Good in Terms Of quickly arranging interviews, quick feedback from the clients and good HR And Management Policies In terms of clearly dictating and communicating the things to the employee."" (in 1 reviews)', -1, -1, -1]","['""No Company Benefits, No Bonus, Very Less PL and CL."" (in 1 reviews)', -1, -1, -1, -1]",1 to 50 Employees,2015,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
15,Executive (IT Programmer/Support),Meeting Matters International Pte Ltd,-1,"Key Deliverables:
Designing and modifying software applications
Implement systems and providing technical support

Responsibilities:
Talking to users to find out their requirements
Create programs essential for business operations
Deal with programs when they need to be repaired, changed or added to another program in place
Writing software and operating manuals

Show More
Report",$31K - $56K (Glassdoor Est.),Queenstown Estate,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",Unknown,Company - Public,Unknown / Non-Applicable,-1,-1,-1
16,IOS Programmer,Ownway Pte Ltd,-1,"Operating System
Windows 10 or higher

Application Platform
IBM Software Suites (e.g. Digital Experience Manager, Digital Business Automation, Websphere Application Server, Domino, MQ) Microsoft (Sharepoint)

Word processing & Spreadsheet
MS Office 2016 (Word, Excel, PowerPoint, Access) and higher, Lotus Notes 9 or higher

Browser
Internet Explorer version 11 or higher

Programming Language






























Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",-1,-1,-1,-1,-1,-1
17,Android Programmer,Ownway Pte Ltd,-1,"Operating System
Windows 10 or higher

Application Platform
IBM Software Suites (e.g. Digital Experience Manager, Digital Business Automation, Websphere Application Server, Domino, MQ) Microsoft (Sharepoint)

Word processing & Spreadsheet
MS Office 2016 (Word, Excel, PowerPoint, Access) and higher, Lotus Notes 9 or higher

Browser
Internet Explorer version 11 or higher

Programming Language


































Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",-1,-1,-1,-1,-1,-1
18,Assistant / Analyst Software Programmer,"3E Accounting
4.4",4.4,"Position Title
Assistant / Analyst Software Programmer – Accounting Firm
Description
3E Accounting Singapore is currently looking to appoint an Assistant / Analyst Software Programmer to join their company digital R&D team in Singapore office.
3E Accounting Pte Ltd aims to be the leading corporate service provider and top accounting firm in Singapore providing One-Stop Solution services for our clients.
3E Accounting Pte Ltd, Singapore is the global headquarters of 3E Accounting International, an International Accounting network with a global presence in more than 80 countries worldwide.









Show More
Report",Employer Provided Salary:$2K - $5K,Singapore,4.0,4.3,4.2,4.0,4.5,"['""Colleagues are nice and friendly"" (in 3 reviews)', '""They offer great employment benefits."" (in 1 reviews)', -1, -1, -1]","['""No increment and bonus"" (in 3 reviews)', -1, -1, -1, -1]",1 to 50 Employees,2011,Company - Private,Accounting & Tax,Finance,$2 to $5 billion (USD)
19,SOFTWARE PROGRAMMER,Dalstech Pte Ltd,-1,"Software Department
Job Responsibilities:
Customize Programs and Addons in ERP System.
Gather Users Requirements and Propose Alternative Solutions.
Work with Project Team to provide technical and programming assistance in ERP Project.
Provide technical assistance to daily helpdesk support.
Plan Project Schedule and Deliverables.
Maintain high level of customer satisfaction.


Show More
Report",$36K - $108K (Glassdoor Est.),Old Kallang Airport Estate,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",1 to 50 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
20,"Software Developer (Information Systems), EDDC","A*STAR Agency for Science, Technology and Research
3.8",3.8,"The Experimental Drug Development Centre is recruiting a software developer to develop scientific applications to support the R&D work of the company.

The applicant should be a strong programmer and technologist who is interested to work closely with colleagues in various scientific departments to enhance their data management and analysis process.

Job Responsibilities:
Support assigned scientific departments on all aspects of information technology
Design and implement scripts, standalone and web applications
Analyse user requirements to inform application design
Define application objectives and functionality

The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.
Full-Time
2 Years
Biopolis
Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",5001 to 10000 Employees,1991,Government,Research & Development,Management & Consulting,Unknown / Non-Applicable
21,Graduate Engineers (DevOps),"StarHub
3.5",3.5,"This role offers an exciting opportunity to lead and drive the success of StarHub's Network-X program, contributing to the advancement of cutting-edge telecommunications solutions in the ever-evolving industry.

Join our growing Engineering team and build the next generation platform!

As Graduate Engineers (Transformation and Product), you will play a crucial role in ensuring the program's success. The ideal candidates will be hands-on in programming languages such as Java, Java Script, Python, C++ with aptitude to work in fast paced agile development environment. The candidates will work with experienced software programmers and architects to develop niche product offerings for StarHub. The candidates must be at ease working in an agile environment with little supervision and embody a passion for continuous improvement and test-driven development.

The candidates will be trained in the latest technologies in telecommunications such as 5G, MEC, CICDCT, Location services and Telecomm APIs.

Responsibilities

⦁ Assist architecture team to analyse, design and develop tests and test-automation suites

⦁ Engage Product developers to develop and code the platform capabilities as per the direction from Product management function

⦁ Learn, design and develop processing platforms using various configuration management technologies

⦁ Test software development methodologies in an agile environment

⦁ Provide ongoing maintenance, support and enhancements in existing systems and platforms

⦁ Collaborate cross-functionally with data scientists, business users, project managers and other Engineers to achieve elegant solutions

⦁ Design and develop software applications, such as utility programs and general application software

⦁ Work with various users to determine needs and create software to meet users’ needs

⦁ Modify existing softwares to fix problems, optimize functioning and enable their use on new hardware platforms

⦁ Perform testing and validation of software systems to ensure that applications work properly

⦁ Programming and development work relating to the deployment of new and emerging technologies

⦁ Contribute to the analysis of complex issues and develop solutions as part of a scrum team

⦁ Provide recommendations for continuous improvement

⦁ Work alongside other engineers on the team to elevate technology and consistently apply best practices

Qualifications

Bachelor's degree in Computer Science, Information Technology, or equivalent

Hands-on experiences in C++, Python, Java, Java script, RESTFUL, SOAP, Microservices, Cloud native application, AI/ML

To APPLY NOW, click on Skye!
Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",1001 to 5000 Employees,2000,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD)
22,Systems Programmer (Postgre SQL/Sybase DBA) 2715,"ASPIRE NXT PTE. LTD.
2.9",2.9,"Job Detailed Description
The Programmer has a wide spectrum of responsibilities and actions. Person will be responsible for following (but not limited to) responsibilities in day-to-day work:
As the Programmer of the team, he/she:
act as the last level of escalation for the team members
own Incident, Problem and change management process for the team
assigns technical tasks and manages delegation
animates the team to encourage collaboration and sharing of practices
participates to recruitment process for the team



Show More
Report",Employer Provided Salary:$5K - $9K,Singapore,2.9,2.3,2.8,2.6,3.0,"['""Very good team members, very supportive....work environment is nice"" (in 1 reviews)', -1, -1, -1, -1]","['""No job security."" (in 2 reviews)', -1, -1, -1, -1]",51 to 200 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
23,"Research Engineer I (Computer Science,/Machine Learning/Information Science/Electrical Engineering/Electronics/Communication Engineering)","Nanyang Technological University
3.9",3.9,"The Energy Research Institute @ NTU (ERIAN) invites applications for the position of Research Engineer I.
As a Research Engineer at EcoLabs, NTU, the candidate must be highly passionate and an enthusiastic player for solving problems in sustainability solutions by building and implementing machine learning, and deep learning algorithms.

Key Responsibilities:
Research, design and implementation of algorithms for multiple applications including energy optimization, carbon accounting and sustainability solutions.
Create statistical tools to identify, analyze, and interpret patterns and trends in complex datasets.
Develop, integrate and deploy artificial intelligence and machine learning applications for real-world, large-scale problems.

Hiring Institution: NTU
Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"['""Good salary and benefit for fresh grads"" (in 478 reviews)', '""Work life balance is good"" (in 481 reviews)', '""colleagues are friendly and helpful"" (in 260 reviews)', '""Good University with good working environments"" (in 483 reviews)', -1]","['""low salary and very comeptitive"" (in 478 reviews)', '""Little to no work life balance"" (in 481 reviews)', '""Colleagues are easy to work with"" (in 260 reviews)', '""Horrible increment and no career progression"" (in 383 reviews)', '""Average working environment, too many people"" (in 483 reviews)']",5001 to 10000 Employees,1991,College / University,Colleges & Universities,Education,$100 to $500 million (USD)
24,Intern – Back End Programmer,"AZENDIAN
2.8",2.8,"Intern – Back End Programmer
Intern, Part Time
Singapore
What We Do Matters
Azendian Solutions is an Artificial Intelligence, data science solutions and operations technology start-up, contributing to smart city solutions with a current focus on Education and the Built Environment. We also have a thriving data science consulting and system integration practice. We are expanding into new markets and domains. If you enjoy working for a visionary in a fast, dynamic environment and have what it takes to succeed, join us in our transformation and growth story.
Job Responsibilities
Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",51 to 200 Employees,2015,Company - Private,Colleges & Universities,Education,Unknown / Non-Applicable
25,Computer Science Teachers,Computhink,-1,"Are you a Programmer who loves to teach?
Or..
Are you a Teacher who loves to code?

Description
Computhink is a Programming School for Kids. We provide beginner to advanced level weekly coding classes and holiday camps for students from the ages of 7 to 16.
Our structured weekly curriculum covers 300+ topics on Computational Thinking, Programming Concepts, Techniques, Syntax, and Algorithms. Students will learn to program with Scratch, Minecraft Education Edition, CodeStudio, Python, HTML, CSS, Javascript and more!

Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",1 to 50 Employees,1994,Company - Private,Computer Hardware Development,Information Technology,$1 to $5 million (USD)
26,PROGRAMMERS AND SOFTWARE DEVELOPMENT PROFESSIONAL,"OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD
4.1",4.1,"Optimum Solutions (Registration Number: 199700895N) is Singapore's leading Information Technology , Consulting and Professional Services company with Competence in Digital Transformation, Automation, Robotics, Cloud, Big Data, Analytics and Emerging technologies projects. Optimum has been successfully delivering IT projects since 1997 and has been a key IT service provider to clients delivering Software Design, Development, Engineering and IT Transformation Projects.

PROGRAMMERS AND SOFTWARE DEVELOPMENT PROFESSIONAL

Key Job Duties:
Show More
Report",Employer Provided Salary:$7K - $12K,Singapore,3.9,3.8,3.9,3.8,4.0,"['""We can get good salary…."" (in 31 reviews)', '""good benefits"" (in 19 reviews)', '""The company which identifies the talented employees"" (in 14 reviews)', -1, -1]","['""2) No salary increment."" (in 31 reviews)', '""No Job security due to limited projects and client dependency."" (in 18 reviews)', '""less benefits and lower hikes"" (in 19 reviews)', '""poor work life balance"" (in 5 reviews)', '""1. Company does not care for the employees once outsourced to the client."" (in 14 reviews)']",1001 to 5000 Employees,1997,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD)
27,GUI Programmer,"GETECH AUTOMATION PTE LTD
2.7",2.7,"Job Description:
Develop and maintain custom machine vision and GUI applications.
Design machine vision algorithms for product quality inspection, process control, and manufacturing automation.
Knowledge in deep learning-based vision solutions.
Make decisions in ordering, building, and maintaining PCs and PC based GUI software.
Configure vision systems (host PC, frame grabbers, cameras, illumination, motion control, interfaces, etc).
Analyze project requirements design, develop and test the multitasking windows desktop applications for industrial equipment.
Show More
Report",Employer Provided Salary:$4K - $6K,Sembawang Estate,2.2,2.2,2.1,2.6,3.4,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",Unknown,Company - Private,Unknown / Non-Applicable,-1,-1,-1
28,Analyst Programmer,Lambda Computing Solutions (S) Pte. Ltd.,-1,"Responsibilities
Responsible for Web-based application development.
Provide supports to development projects throughout the project life cycle.
Designs, codes, and tests technical solutions.
Identifies system deficiencies and recommends solutions.
Contribute to functional requirements and translate them into technical design and development projects.
Perform and manage unit and system integration testing, conversion, migration tasks and documentation.
Document features, technical specifications, and infrastructure requirements for self-produced technical work and job processes.


Show More
Report",-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]",1 to 50 Employees,2020,Company - Private,Information Technology Support Services,Information Technology,Less than $1 million (USD)
29,APPLICATIONS / SYSTEMS PROGRAMMER,"OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD
4.1",4.1,"Optimum Solutions (Registration Number: 199700895N) is Singapore's leading Information Technology , Consulting and Professional Services company with Competence in Digital Transformation, Automation, Robotics, Cloud, Big Data, Analytics and Emerging technologies projects. Optimum has been successfully delivering IT projects since 1997 and has been a key IT service provider to clients delivering Software Design, Development, Engineering and IT Transformation Projects.

APPLICATIONS / SYSTEMS PROGRAMMER

Key Job Duties:
Show More
Report",Employer Provided Salary:$7K - $11K,Singapore,3.9,3.8,3.9,3.8,4.0,"['""1. Timely salary on every 6th or 7th"" (in 23 reviews)', '""Medical Benefits good."" (in 6 reviews)', '""Account Manager, Karen was very helpful and prompt."" (in 6 reviews)', '""Giving you a good opportunity,"" (in 3 reviews)', '""People are so lovely and friendly here, from the moment you have an interview everyone is so kind and welcoming."" (in 4 reviews)']","['""1. Tried to scam me by including a penalty clause of 1 month salary ON TOP OF notice period required, if I resigned."" (in 23 reviews)', '""No professional growth and no benefits"" (in 6 reviews)', '""Not every Account Manager is the same."" (in 6 reviews)', -1, -1]",1001 to 5000 Employees,1997,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD)
30,APPLICATIONS / SYSTEMS PROGRAMMER,"OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD
4.1",4.1,"Optimum Solutions (Registration Number: 199700895N) is Singapore's leading Information Technology , Consulting and Professional Services company with Competence in Digital Transformation, Automation, Robotics, Cloud, Big Data, Analytics and Emerging technologies projects. Optimum has been successfully delivering IT projects since 1997 and has been a key IT service provider to clients delivering Software Design, Development, Engineering and IT Transformation Projects.

APPLICATIONS / SYSTEMS PROGRAMMER

Key Job Duties:
Show More
Report",Employer Provided Salary:$7K - $11K,Singapore,3.9,3.8,3.9,3.8,4.0,"['""1. Timely salary on every 6th or 7th"" (in 23 reviews)', '""Medical Benefits good."" (in 6 reviews)', '""Account Manager, Karen was very helpful and prompt."" (in 6 reviews)', '""Giving you a good opportunity,"" (in 3 reviews)', '""People are so lovely and friendly here, from the moment you have an interview everyone is so kind and welcoming."" (in 4 reviews)']","['""1. Tried to scam me by including a penalty clause of 1 month salary ON TOP OF notice period required, if I resigned."" (in 23 reviews)', '""No professional growth and no benefits"" (in 6 reviews)', '""Not every Account Manager is the same."" (in 6 reviews)', -1, -1]",1001 to 5000 Employees,1997,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD)
