,Job Title,Company,Company Rating,Salary,Location,Career Opportunities,Company Benefits,Culture & Values,Upper Management,Work Life Balance,Company Pros Reviews,Company Cons Reviews
0,Information Technology Analyst (Banking - Fresh Graduates),"D L RESOURCES PTE LTD
3.3",3.3,Employer Provided Salary:$2K - $6K,Singapore,2.8,2.2,2.5,2.5,2.6,"['""Very responsible, able to ans to staff enquiry"" (in 2 reviews)', '""very good company very flexible"" (in 1 reviews)', -1, -1, -1]","['""Basic benefits is given by dl resources client"" (in 1 reviews)', -1, -1, -1, -1]"
1,"IT Support, Data & Analytics - Technology Consulting (1 year contract)","EY
3.9",3.9,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
2,Staff Analyst - Information Technology (B2B),"Infineon Technologies
4.2",4.2,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
3,IT Engineer,"SMCC OVERSEAS SINGAPORE PTE LTD
4.2",4.2,Employer Provided Salary:$4K - $4K,Bukit Merah Estate,4.0,3.9,3.7,3.3,3.1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
4,IT Support,FRONTIER FORCE TECHNOLOGY PTE LTD,-1,Employer Provided Salary:$3K - $4K,Singapore,2.5,2.2,2.7,2.7,2.7,"['No Pros have been reported by the Glassdoor community.', -1, -1, -1, -1]","['""Low salary compare to market, and very little increment."" (in 1 reviews)', '""No respect to employee Will make sure u will never forget that you owe them a lot by hiring you."" (in 1 reviews)', -1, -1, -1]"
5,Information Technology Engineer (IBM Mainframe/AS400 Operator),"D L RESOURCES PTE LTD
3.3",3.3,Employer Provided Salary:$3K - $6K,Singapore,2.8,2.2,2.5,2.5,2.6,"['""Very responsible, able to ans to staff enquiry"" (in 2 reviews)', '""very good company very flexible"" (in 1 reviews)', -1, -1, -1]","['""Basic benefits is given by dl resources client"" (in 1 reviews)', -1, -1, -1, -1]"
6,IT Support,Techbro Pte Ltd,-1,Employer Provided Salary:$2K - $5K,Jurong East New Town,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
7,IT Officer,"JMS Singapore Pte Ltd
2.7",2.7,Employer Provided Salary:$2K - $3K,Ang Mo Kio New Town,2.5,2.4,2.5,2.2,3.1,"['""Friendly colleague in the company"" (in 13 reviews)', '""Friendly management"" (in 10 reviews)', '""salary is payed on time every month,"" (in 11 reviews)', '""Good benefit."" (in 5 reviews)', -1]","['""Poor management."" (in 10 reviews)', '""bad career progression."" (in 11 reviews)', '""Salary is not very high"" (in 11 reviews)', -1, -1]"
8,Network Engineer,"Wipro Limited
2.8",2.8,$50K - $86K (Glassdoor Est.),Singapore,2.8,2.6,3.1,3.0,3.2,"['""good salary and culute to work"" (in 511 reviews)', '""good work life balance here"" (in 241 reviews)', '""Management is good and well centralised"" (in 227 reviews)', '""Wipro work culture is good for freshers and experienced candidates."" (in 233 reviews)', '""Good job Security"" (in 403 reviews)']","['""Salary is less but good"" (in 511 reviews)', '""Do not join this company because there\'s no work life balance especially india offices they don\'t care."" (in 241 reviews)', '""Poor management ."" (in 227 reviews)', '""Work culture is not good there!"" (in 233 reviews)', '""No job security provided here in wipro"" (in 403 reviews)']"
9,IT Desktop Support Engineer,"TELISTAR SOLUTIONS PTE. LTD.
3.6",3.6,Employer Provided Salary:$3K - $4K,Singapore,3.2,3.2,3.7,3.3,3.3,"['""Having to have a wonderful boss &amp; a good career advancement."" (in 3 reviews)', '""Colleagues are nice, that will help and teach you with your work."" (in 1 reviews)', -1, -1, -1]","['""Boss is stingy that only gave $4 red packets to junior staff during CNY, only after his company site being hacked once and being hospitalize then became a better person."" (in 3 reviews)', '""The salary &amp; bonus are low."" (in 1 reviews)', -1, -1, -1]"
10,IT Technician,Day One Pte Ltd,-1,Employer Provided Salary:$2K - $4K,Toa Payoh New Town,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
11,IT Support Assistant,"PropertyGuru Pte Ltd
3.7",3.7,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
12,IT Officer,"KINERGY CORPORATION LTD.
3.1",3.1,Employer Provided Salary:$3K - $4K,Singapore,2.9,2.3,2.7,2.6,2.5,"['""No pros since no benefits at all"" (in 1 reviews)', '""Great colleagues"" (in 1 reviews)', '""No micro management, do your own work"" (in 1 reviews)', -1, -1]","['""No any other benefits apart from basic salary"" (in 1 reviews)', -1, -1, -1, -1]"
13,IT Technician,"One World Rental - Global Technology Hire
3.8",3.8,Employer Provided Salary:$3K - $3K,Hougang New Town,4.0,3.2,3.8,3.5,3.6,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
14,2024 Apple Internship - Information Systems and Technology,"Apple
4.2",4.2,-1,Singapore,-1,-1,-1,-1,-1,"['""Also stock benefits are great"" (in 137 reviews)', '""Great people and atmosphere."" (in 156 reviews)', '""Great pay and room to grow"" (in 141 reviews)', '""Work life balance is good"" (in 98 reviews)', '""Good work environment for someone wanting to expand their knowledge"" (in 116 reviews)']","['""Career Opportunities, Compensations and Benefits"" (in 137 reviews)', '""around about why they couldn\'t afford to hire people full"" (in 156 reviews)', '""not that good pay honest"" (in 141 reviews)', '""little to no work life balance"" (in 98 reviews)', '""Competitive work environment."" (in 116 reviews)']"
15,IT Administrator,"GETECH AUTOMATION PTE LTD
2.7",2.7,Employer Provided Salary:$3K - $5K,Sembawang Estate,2.2,2.2,2.1,2.6,3.4,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
16,IT Desktop Support Engineer,"IMCD SINGAPORE PTE. LTD.
3.6",3.6,Employer Provided Salary:$4K - $6K,Singapore,3.3,3.5,3.5,3.2,3.4,"['""Good benefits and friendly environment"" (in 1 reviews)', '""Good teams and people all around"" (in 1 reviews)', -1, -1, -1]","['""Time/attendance policy is incredibly rigid and ridiculous, and management plays favorites and does not apply the rules to everyone equally."" (in 1 reviews)', -1, -1, -1, -1]"
17,IT Administrator,"Target Recruitment A member of WMS Group
4.0",4.0,Employer Provided Salary:$3K - $5K,Woodlands New Town,3.0,3.0,4.0,4.0,4.0,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
18,SERVICE DESK MANAGER,"TERRA SYSTEMS PTE. LTD.
3.1",3.1,Employer Provided Salary:$3K - $8K,Hougang New Town,2.9,2.6,3.0,3.0,3.4,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
19,IT Executive,"Boys' Town
3.6",3.6,$40K - $100K (Glassdoor Est.),Bukit Panjang New Town,3.5,3.6,3.8,3.3,3.1,"['No Pros have been reported by the Glassdoor community.', -1, -1, -1, -1]","['""low salary long hours hostile work environment"" (in 1 reviews)', '""no overtime or additional hours"" (in 1 reviews)', '""More work than people at times."" (in 1 reviews)', -1, -1]"
20,Information Technology - Mobile Applications Developer (Android),"Singapore Airlines
3.8",3.8,$89K - $132K (Glassdoor Est.),Singapore,3.1,3.5,3.3,3.1,3.6,"['""Good benefits and strong union support"" (in 9 reviews)', '""Work life balance is very good"" (in 10 reviews)', '""good bonus good colleagues good learning"" (in 10 reviews)', -1, -1]","['""Mostly under contract and salary is average."" (in 12 reviews)', '""Company does not layoff people during the pandemic which is good"" (in 7 reviews)', -1, -1, -1]"
21,IT Support Engineer (L1/L2),"ITCAN Pte Ltd
3.8",3.8,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
22,IT Technical Support,Seamobi Tech Pte Ltd,-1,Employer Provided Salary:$4K,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
23,IT Admin,"JOBSTER PRIVATE LTD.
2.7",2.7,Employer Provided Salary:$3K - $4K,Singapore,2.5,2.5,2.5,2.5,2.0,"['No Pros have been reported by the Glassdoor community.', -1, -1, -1, -1]","['""No proper communication with staff and biased."" (in 1 reviews)', -1, -1, -1, -1]"
24,IT Operations Support Engineer,"GECO Asia
3.9",3.9,$26K - $41K (Glassdoor Est.),Jurong West New Town,4.2,3.5,4.0,3.8,4.3,"['""Competitive salary."" (in 1 reviews)', '""Very friendly colleagues and supervisors, both local and overseas."" (in 1 reviews)', -1, -1, -1]","['No Cons have been reported by the Glassdoor community.', -1, -1, -1, -1]"
25,IT Specialist,Rapsodo Pte. Ltd.,-1,Employer Provided Salary:$4K - $5K,Queenstown Estate,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
26,IT Manager,TGIT,-1,Employer Provided Salary:$5K - $5K,Geylang Serai,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
27,IT Support,TGIT,-1,Employer Provided Salary:$3K - $4K,Geylang Serai,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
28,ICT HELP DESK SPECIALIST,"S & I SYSTEMS PTE LTD
3.0",3.0,Employer Provided Salary:$3K - $6K,Singapore,2.7,2.6,2.4,2.5,2.8,"['""Decent colleagues and managerial guidance"" (in 2 reviews)', -1, -1, -1, -1]","['No Cons have been reported by the Glassdoor community.', -1, -1, -1, -1]"
29,IT Programmers,"ALLTECH SYSTEMS PTE. LTD.
2.7",2.7,Employer Provided Salary:$7K - $12K,Singapore,2.5,1.0,1.5,1.0,2.5,"['No Pros have been reported by the Glassdoor community.', -1, -1, -1, -1]","['No Cons have been reported by the Glassdoor community.', -1, -1, -1, -1]"
30,Lecturer/Assistant Professor in Game Development and Production,"DigiPen Institute of Technology Singapore
3.6",3.6,Employer Provided Salary:$6K - $12K,Queenstown Estate,3.2,3.2,3.9,3.4,3.3,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
31,Instrumentation & Control Engineer,Conny Tech,-1,Employer Provided Salary:$4K - $5K,Bedok New Town,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
32,IT Programmers,"ALLTECH SYSTEMS PTE. LTD.
2.7",2.7,Employer Provided Salary:$7K - $12K,Singapore,2.5,1.0,1.5,1.0,2.5,"['No Pros have been reported by the Glassdoor community.', -1, -1, -1, -1]","['No Cons have been reported by the Glassdoor community.', -1, -1, -1, -1]"
33,Software Engineer - BCG X,"Boston Consulting Group
4.3",4.3,-1,Singapore,-1,-1,-1,-1,-1,"['""Very good organization, maintain work life balance"" (in 27 reviews)', '""good salaries for all employees"" (in 20 reviews)', '""Benefits are great, insurance is fully covered"" (in 18 reviews)', '""Employee friendly"" (in 15 reviews)', '""Also great opportunities to work with international and multidisciplinary teams"" (in 14 reviews)']","['""bad work life balance though"" (in 27 reviews)', '""Could do better on the salaries"" (in 20 reviews)', '""Smart employees"" (in 15 reviews)', -1, -1]"
34,Programmer,"The Esplanade Co Ltd
3.8",3.8,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
35,UNITY GAME DEVELOPER,Mixed Realms,-1,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
36,Game Design Intern,"Ubisoft
3.8",3.8,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
37,Data Scientist - BCG X,"Boston Consulting Group
4.3",4.3,-1,Singapore,-1,-1,-1,-1,-1,"['""Name good on CV and good work/life balance."" (in 149 reviews)', '""Great people that genuinely care"" (in 107 reviews)', '""Great benefits outside of salary"" (in 56 reviews)', '""Great culture and work experience"" (in 92 reviews)', '""Good pay"" (in 69 reviews)']","['""No work life balance is there"" (in 149 reviews)', '""Long working hours(12 hour minimum) with no benefits."" (in 56 reviews)', '""Aggresive culture."" (in 92 reviews)', '""Average pay, longish working hours"" (in 69 reviews)', -1]"
38,AI programmer,"Ubisoft
3.8",3.8,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
39,Programmer Coordinator,BEACON INTERNATIONAL COLLEGE PTE. LTD.,-1,Employer Provided Salary:$3K - $4K,Singapore,1.0,1.0,1.0,1.0,1.0,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
40,Nodejs Web Developer - Fleetnetics,"DewTouch Innovations Pte Ltd
2.8",2.8,Employer Provided Salary:$2K - $5K,Geylang Serai,2.6,2.6,2.8,2.6,2.6,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
41,Software Developers,"Craft Digital Pte Ltd
4.3",4.3,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
42,Junior Programmer,QN Software Pte Ltd,-1,-1,Singapore,-1,-1,-1,-1,-1,"['""good pay, friendly staff"" (in 1 reviews)', '""Talented peers, employers with flexible mindsets regarding work culture"" (in 1 reviews)', -1, -1, -1]","['""no time off"" (in 1 reviews)', '""Bottlenecked communications and a little too much micromanaging"" (in 1 reviews)', -1, -1, -1]"
43,Assistant Programmer/Programmer,"PERSOLKELLY Singapore
3.3",3.3,Employer Provided Salary:$4K - $5K,Singapore,3.0,2.9,3.3,3.1,3.4,"['""Benefits are good with per quarter incentive and additional leaves"" (in 3 reviews)', '""Great employer salary on time"" (in 8 reviews)', '""Nice HR team"" (in 1 reviews)', '""Amazing work culture and effectiveness"" (in 1 reviews)', -1]","['""They have clients like Walmart, they just listen to employees\' issues but not taking steps."" (in 1 reviews)', -1, -1, -1, -1]"
44,PROGRAMMER,LING GLOBAL PTE. LTD.,-1,Employer Provided Salary:$4K - $6K,Singapore,5.0,5.0,5.0,5.0,5.0,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
45,Web Application Programmer,WEB MASTER CONSULTANCY PTE LTD,-1,Employer Provided Salary:$3K - $4K,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
46,Intern – Back End Programmer,"AZENDIAN
2.8",2.8,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
47,.Net Developer | IT & Services | Up to SGD6K,"Tek Infotree Sdn Bhd
4.2",4.2,Employer Provided Salary:$5K - $6K,Singapore,3.9,3.8,4.2,4.1,4.1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
48,Analyst Programmer,"Rapsys Technologies
4.7",4.7,Employer Provided Salary:$4K - $4K,Singapore,4.6,4.6,4.7,4.6,4.7,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
49,IT Programmers,KOH INFRASTRUCTURE SERVICES PTE. LTD.,-1,Employer Provided Salary:$5K - $9K,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
50,Executive (IT Programmer/Support),Meeting Matters International Pte Ltd,-1,$37K - $56K (Glassdoor Est.),Queenstown Estate,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
51,IT Programmers,KGN INTEGRATED ENGINEERING PTE. LTD.,-1,Employer Provided Salary:$4K - $5K,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
52,Web Developers,WhooshPro Pte Ltd,-1,$49K - $94K (Glassdoor Est.),Geylang Serai,4.1,3.1,5.0,3.2,3.2,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
53,Programmer (Outsystems),"WSH EXPERTS PTE LTD
2.3",2.3,Employer Provided Salary:$5K - $7K,Singapore,2.3,2.0,2.3,2.4,2.8,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
54,Web Programmer and IT Support—Intern,Mocha Chai Laboratories,-1,$50K - $95K (Glassdoor Est.),Geylang Serai,4.1,3.1,3.1,3.1,3.6,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
55,• Analyst Programmer – RPG,"RECRUITFLASH PTE. LTD.
5.0",5.0,Employer Provided Salary:$5K - $10K,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
56,IT Programmer Full-time/Part-time,"XDel
1.9",1.9,$37K - $56K (Glassdoor Est.),Bukit Merah Estate,1.9,1.6,1.9,1.9,1.7,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
57,"Software Developer (Information Systems), EDDC","A*STAR Agency for Science, Technology and Research
3.8",3.8,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
58,PHP Developer / Programmer,"Palazon Technology Pte Ltd
3.0",3.0,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
59,Software Engineer,"GETECH AUTOMATION PTE LTD
2.7",2.7,Employer Provided Salary:$4K - $6K,Sembawang Estate,2.2,2.2,2.1,2.6,3.4,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
60,Phone and Email Support Representative,"VORO MOTORS, Inc.
3.8",3.8,Employer Provided Salary:$12.00 Per hour,Singapore,3.1,3.0,3.4,3.2,3.5,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
61,E-Commerce Executive,Enviably Me Pte Ltd,-1,Employer Provided Salary:$3K - $4K,Toa Payoh New Town,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
62,IT Field Support Engineer - Singapore,"TRT (Singapore) Pte Limited
2.7",2.7,Employer Provided Salary:$5K - $7K,Singapore,2.3,2.7,2.4,2.2,2.6,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
63,"IT Support, Data & Analytics - Technology Consulting (1 year contract)","EY
3.9",3.9,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
64,ICT HELP DESK SPECIALIST,"S & I SYSTEMS PTE LTD
3.0",3.0,Employer Provided Salary:$3K - $6K,Singapore,2.7,2.6,2.4,2.5,2.8,"['""Decent colleagues and managerial guidance"" (in 2 reviews)', -1, -1, -1, -1]","['No Cons have been reported by the Glassdoor community.', -1, -1, -1, -1]"
65,Field Service Technician,Yamato SG Pte Ltd.,-1,Employer Provided Salary:$4K - $6K,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
66,Technical /IT Support Specialist,Emereo Technology Pte Ltd,-1,-1,Geylang Serai,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
67,Proposition Development Specialist,"Telstra
4.0",4.0,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
68,"Project Support, Data & Analytics - Technology Consulting (1 year contract)","EY
3.9",3.9,$43K - $48K (Glassdoor Est.),Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
69,IT Support,FRONTIER FORCE TECHNOLOGY PTE LTD,-1,Employer Provided Salary:$3K - $4K,Singapore,2.5,2.2,2.7,2.7,2.7,"['No Pros have been reported by the Glassdoor community.', -1, -1, -1, -1]","['""Low salary compare to market, and very little increment."" (in 1 reviews)', '""No respect to employee Will make sure u will never forget that you owe them a lot by hiring you."" (in 1 reviews)', -1, -1, -1]"
70,Learning Support Specialist - Student Care [ITE College Central],"Institute of Technical Education
3.8",3.8,$37K (Glassdoor Est.),Singapore,3.1,3.8,3.7,3.1,3.8,"['""Work Life balance and great colleagues to work with."" (in 3 reviews)', '""Good learning peers and bosses."" (in 2 reviews)', -1, -1, -1]","['""toxic office environment and colleagues"" (in 3 reviews)', '""progression and pay grade is slow"" (in 1 reviews)', -1, -1, -1]"
71,"Support Specialist, Information Technology","Financial Alliance
4.6",4.6,$36K - $63K (Glassdoor Est.),Singapore,4.4,3.8,4.6,4.6,4.4,"['""Great work and life balance"" (in 2 reviews)', '""Great and Friendly working environment."" (in 2 reviews)', -1, -1, -1]","['No Cons have been reported by the Glassdoor community.', -1, -1, -1, -1]"
72,IT Support Specialist,"KAROOOOO MANAGEMENT COMPANY PTE. LTD.
1.7",1.7,Employer Provided Salary:$2K - $5K,Singapore,1.7,2.3,1.7,1.5,1.9,"['""Great colleagues to work with"" (in 3 reviews)', -1, -1, -1, -1]","['""Unprofessional management, toxic environment, they don\'t know how to value their employee"" (in 3 reviews)', '""Nepotism is not good when all key positions are filled by incompetent family members."" (in 2 reviews)', '""Very toxic culture No bonuses, nothing Likes to retain bootlickers without real contribution Narcissistic middle and upper management People are anxious if they\'re the next person to be let go because it happens frequently"" (in 3 reviews)', '""4) New CFO should groom employees, be reasonable and objective, understanding and assessing the issue as well as workload of employees."" (in 2 reviews)', -1]"
73,Technical Support Specialist (Service Desk),"Stefanini, Inc
3.8",3.8,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
74,Technical Support Specialist (Moving Lights) SINGAPORE,Ayrton,-1,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
75,Technical Support Specialist,AppsPOS Pte Ltd,-1,Employer Provided Salary:$2K - $3K,Geylang Serai,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
76,Studio Technical Support Specialist,The I Quadrant Pte. Ltd.,-1,Employer Provided Salary:$3K - $4K,Old Kallang Airport Estate,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
77,IT Helpdesk Specialist,"Razer USA Ltd.
4.0",4.0,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
78,Remote Support Engineer,"TECHFOUNT SYSTEMS PTE
3.3",3.3,$34K - $66K (Glassdoor Est.),Geylang Serai,2.6,2.6,3.0,3.3,3.1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
79,Technical Support Specialist,"Atlas Copco (South East Asia) Pte. Ltd
4.1",4.1,$29K - $60K (Glassdoor Est.),Tuas,4.0,3.7,4.1,3.7,3.8,"['""Great people and good benefits."" (in 9 reviews)', '""General speaking, management provides enough time to finish tasks."" (in 5 reviews)', '""Good office working environment."" (in 7 reviews)', '""Excellent work life balance."" (in 5 reviews)', -1]","['""Need to offer more good benefit to staff"" (in 9 reviews)', '""Awful management, lack of support to end users."" (in 5 reviews)', '""Really hard to find International career opportunity if you are an local IT"" (in 8 reviews)', -1, -1]"
80,Learning Support Specialist - Student Care [ITE College East],"ITE Institute of Technical Education
3.8",3.8,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
81,"Engineer, Technical Support (Regional)","Sysmex Asia Pacific
4.2",4.2,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
82,Customer Support Specialist,AI Apps Pte Ltd,-1,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
83,IT Executive,"Lockton, Inc.
4.1",4.1,$80K - $144K (Glassdoor Est.),Singapore,4.0,3.9,4.2,3.9,3.7,"['""Everyone is willing to help out to win new business"" (in 3 reviews)', '""Great pay, frequent indulgence of adult beverages"" (in 1 reviews)', '""Great environment and company overall"" (in 1 reviews)', -1, -1]","['""• Limited growth opportunities, making it challenging to advance in one’s career."" (in 1 reviews)', '""• Unpleasant treatment by management, feeling undervalued and compared to a janitor."" (in 1 reviews)', -1, -1, -1]"
84,Technical Specialist(Singapore),"Novogene
3.0",3.0,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
85,Informatics Technical Specialist (Transfusion),"Abbott Laboratories
3.8",3.8,-1,Singapore,-1,-1,-1,-1,-1,"['""Abbott offers great benefits to emplotees"" (in 40 reviews)', '""Great company with good pay and bene\'s."" (in 50 reviews)', '""Nice people and health cover."" (in 48 reviews)', '""work life balance is good"" (in 30 reviews)', '""Good Management"" (in 25 reviews)']","['""Different benefits for the companies of the group"" (in 40 reviews)', '""The Pay could be better"" (in 50 reviews)', '""Not a great Work/Life Balance."" (in 30 reviews)', '""Bad management means its all about solving problems instead of doing workload."" (in 25 reviews)', -1]"
86,Technical Support Specialist,STARVISION INFORMATION TECHNOLOGY PTE LTD,-1,Employer Provided Salary:$2K - $5K,Singapore,1.4,2.8,3.4,2.8,3.0,"['No Pros have been reported by the Glassdoor community.', -1, -1, -1, -1]","['""Lower salary and benefits."" (in 1 reviews)', '""Salaries are lower than average"" (in 1 reviews)', '""Lesser flexibility"" (in 1 reviews)', -1, -1]"
87,iTero Technical Support Specialist,"AlignTech
4.0",4.0,$47K - $60K (Glassdoor Est.),Tanglin Hill,3.7,3.9,3.8,3.6,3.6,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
88,Studio Technical Support Specialist,Crestbrick Pte. Ltd.,-1,Employer Provided Salary:$3K - $4K,Old Kallang Airport Estate,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
89,Technical Support Engineer,"Sartorius
3.7",3.7,$50K - $73K (Glassdoor Est.),Singapore,3.4,3.6,3.7,3.4,3.9,"['""Best work/life balance of my career."" (in 5 reviews)', '""Very good policies, employee friendly"" (in 5 reviews)', '""Good benefits"" (in 4 reviews)', '""Great benefits, pay, and bonus structure."" (in 3 reviews)', -1]","['""Not much work life balance."" (in 5 reviews)', '""Company pays external hires well but doesn’t really give great raises for high performing employees leading to good people leaving"" (in 5 reviews)', '""Medical benefits are not that good, the company was growing at a very fast rate and alot of changes were implemented that are no longer effective."" (in 4 reviews)', '""Lack of growth and career opportunities"" (in 5 reviews)', -1]"
90,Lecturer/Assistant Professor in Game Development and Production,"DigiPen Institute of Technology Singapore
3.6",3.6,Employer Provided Salary:$6K - $12K,Queenstown Estate,3.2,3.2,3.9,3.4,3.3,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
91,Instrumentation & Control Engineer,Conny Tech,-1,Employer Provided Salary:$4K - $5K,Bedok New Town,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
92,Software Developers,"Craft Digital Pte Ltd
4.3",4.3,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
93,UNITY GAME DEVELOPER,Mixed Realms,-1,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
94,Game Design Intern,"Ubisoft
3.8",3.8,-1,Singapore,-1,-1,-1,-1,-1,"[-1, -1, -1, -1, -1]","[-1, -1, -1, -1, -1]"
95,Software Engineer - BCG X,"Boston Consulting Group
4.3",4.3,-1,Singapore,-1,-1,-1,-1,-1,"['""Very good organization, maintain work life balance"" (in 27 reviews)', '""good salaries for all employees"" (in 20 reviews)', '""Benefits are great, insurance is fully covered"" (in 18 reviews)', '""Employee friendly"" (in 15 reviews)', '""Also great opportunities to work with international and multidisciplinary teams"" (in 14 reviews)']","['""bad work life balance though"" (in 27 reviews)', '""Could do better on the salaries"" (in 20 reviews)', '""Smart employees"" (in 15 reviews)', -1, -1]"
